ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.45555556,2.3,0.1,1199.05,1.742676983,0.178361699,35.99651855,0.122004526,0.432436633,0.567563367,0.119137461,0.011155071,6.000293489,0.093631931,0.906368069,0.089176188,0.056607486,0.038339251,42
0.1,0.07,0.45555556,3.4,0.1,1199.05,1.738826932,0.178611884,36.05050795,0.122041288,0.430752204,0.569247796,0.119206719,0.011270642,6.001065381,0.094547038,0.905452962,0.088763229,0.056829402,0.03831706,43
0.1,0.07,0.45555556,4.5,0.1,1199.05,1.73400951,0.178825486,36.09458124,0.122004039,0.428644054,0.571355946,0.119262604,0.01138437,6.002029434,0.095456327,0.904543673,0.088338758,0.057036276,0.038296372,44
0.1,0.07,0.45555556,5.6,0.1,1199.05,1.728813037,0.179112688,36.13488166,0.122010638,0.426371702,0.573628298,0.119314379,0.011498421,6.00306738,0.096370792,0.903629208,0.087910613,0.057238106,0.038276189,45
0.1,0.07,0.45555556,6.7,0.1,1199.05,1.723428049,0.179270562,36.17334725,0.121900513,0.424019267,0.575980733,0.1193623,0.011610963,6.004144386,0.097274958,0.902725042,0.087481639,0.057438428,0.038256157,46
0.1,0.07,0.45555556,7.8,0.1,1199.05,1.717933681,0.179487542,36.21079157,0.12183416,0.421621661,0.578378339,0.119409547,0.011724069,6.005242033,0.098183682,0.901816318,0.08705294,0.057638631,0.038236137,47
0.1,0.07,0.45555556,8.9,0.1,1199.05,1.712366192,0.179609094,36.24763015,0.121684759,0.419195037,0.580804963,0.11945493,0.011836257,6.006355448,0.099085548,0.900914452,0.086624763,0.057839096,0.03821609,48
0.1,0.07,0.45555556,10,0.1,1199.05,1.706742781,0.179769453,36.28410794,0.121564621,0.416746898,0.583253102,0.119500272,0.011949026,6.007479232,0.099991618,0.900008382,0.086196995,0.058039773,0.038196023,49
0.1,0.07,0.54444444,0.1,0.1,1199.05,0.460469459,0.068764873,13.87443671,0.022099383,0.036645815,0.963354185,0.09420774,0.005937918,6.328836301,0.063030045,0.936969955,0.08723606,0.048012981,0.039198702,50
0.1,0.07,0.54444444,1.2,0.1,1199.05,1.742849695,0.14981359,30.24352855,0.099041964,0.432488863,0.567511137,0.119015529,0.011030316,6.000246464,0.092679641,0.907320359,0.089535159,0.056288835,0.038371116,51
0.1,0.07,0.54444444,2.3,0.1,1199.05,1.743725311,0.150368617,30.33201395,0.099505828,0.43288376,0.56711624,0.119153861,0.011158415,6.000075901,0.093647109,0.906352891,0.089180423,0.056586064,0.038341394,52
0.1,0.07,0.54444444,3.4,0.1,1199.05,1.739980256,0.15052737,30.37836958,0.099493305,0.431245617,0.568754383,0.119223626,0.011273302,6.000827919,0.094555936,0.905444064,0.08877058,0.056811356,0.038318864,53
0.1,0.07,0.54444444,4.5,0.1,1199.05,1.735200512,0.150783934,30.41577475,0.09951929,0.429153551,0.570846449,0.119280689,0.011387701,6.001783546,0.095469781,0.904530219,0.088347138,0.057019349,0.038298065,54
0.1,0.07,0.54444444,5.6,0.1,1199.05,1.730022511,0.15086877,30.44981555,0.099396486,0.426888638,0.573111362,0.119330806,0.01150002,6.002820226,0.09637092,0.90362908,0.087919429,0.057221619,0.038277838,55
0.1,0.07,0.54444444,6.7,0.1,1199.05,1.724645694,0.151025207,30.48224471,0.099321878,0.424538982,0.575461018,0.119379198,0.011612907,6.003895154,0.097277477,0.902722523,0.087490339,0.05742181,0.038257819,56
0.1,0.07,0.54444444,7.8,0.1,1199.05,1.71915523,0.151220061,30.5137751,0.099272472,0.422142277,0.577857723,0.119426612,0.011726128,6.004991932,0.098186895,0.901813105,0.087061326,0.057621658,0.038237834,57
0.1,0.07,0.54444444,8.9,0.1,1199.05,1.713585599,0.151340523,30.54478927,0.099162065,0.419713693,0.580286307,0.119472463,0.011838774,6.006105192,0.099092075,0.900907925,0.086632403,0.05782132,0.038217868,58
0.1,0.07,0.54444444,10,0.1,1199.05,1.707955473,0.151556385,30.57549844,0.09912283,0.417261453,0.582738547,0.119518833,0.01195257,6.007228945,0.100005745,0.899994255,0.086203532,0.058020834,0.038197917,59
0.1,0.07,0.63333333,0.1,0.1,1199.05,0.33418518,0.049621592,10.0130184,0.014274816,0.021678191,0.978321809,0.090133666,0.005396163,6.387708279,0.059868447,0.940131553,0.08733983,0.047239639,0.039276036,60
0.1,0.07,0.63333333,1.2,0.1,1199.05,1.742636933,0.129391207,26.1133204,0.083527663,0.432381192,0.567618808,0.119011916,0.011028744,6.000280475,0.092669244,0.907330756,0.089527278,0.056237629,0.038376237,61
0.1,0.07,0.63333333,2.3,0.1,1199.05,1.744401334,0.129841854,26.19681748,0.083916001,0.433169428,0.566830572,0.119161107,0.011157219,5.999935212,0.093631383,0.906368617,0.089187841,0.056553086,0.038344691,62
0.1,0.07,0.63333333,3.4,0.1,1199.05,1.740806599,0.130045373,26.23786086,0.083957082,0.431597699,0.568402301,0.119233226,0.011272627,6.000656685,0.094542664,0.905457336,0.088782036,0.056782844,0.038321716,63
0.1,0.07,0.63333333,4.5,0.1,1199.05,1.736084797,0.130187362,26.27044872,0.083917608,0.429531083,0.570468917,0.119289847,0.011385981,6.001602232,0.095448033,0.904551967,0.088360588,0.056992907,0.038300709,64
0.1,0.07,0.63333333,5.6,0.1,1199.05,1.730933802,0.13028085,26.29994944,0.083828733,0.427277674,0.572722326,0.119340554,0.011498545,6.00263318,0.096350689,0.903649311,0.087933718,0.057196047,0.038280395,65
0.1,0.07,0.63333333,6.7,0.1,1199.05,1.725570015,0.130465666,26.32799259,0.083800618,0.42493312,0.57506688,0.119389592,0.011611883,6.00370485,0.097260428,0.902739572,0.087504822,0.057396384,0.038260362,66
0.1,0.07,0.63333333,7.8,0.1,1199.05,1.720083856,0.130659746,26.35523658,0.083775198,0.422537594,0.577462406,0.119437317,0.011725344,6.004800464,0.098171531,0.901828469,0.087075475,0.057595841,0.038240416,67
