ratio_absorb,LIGHT,VDE_max_turnover_number,pKvde,VDE_Hill,kZE,pKPsbS,max_NPQ,pHstroma_initial,ATP_synthase_content,ATP_synthase_max_turnover,Thylakoid_membrane_capacitance,Volts_per_charge,c_subunits_per_ATP_synthase,n,perm_K,k_VCCN1,k_CLCE,max_b6f,pKreg,Em7_PC,Em7_PQH2,Em_Fd,k_NDH,lumen_protons_per_turnover,buffering_capacity,PSI_antenna_size,k_PC_to_P700,k_KEA,max_PSII,PSII_antenna_size,kQA,k_recomb,triplet_yield,triplet_to_singletO2_yield,light_per_L,k_Fd_to_NADP,k_CBC
0.3,80.707214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,56.4950498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,39.54653486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,27.6825744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,19.37780208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,13.56446146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,9.49512302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,6.646586114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,4.65261028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,3.256827196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,2.279779037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.595845326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,1.117091728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,259.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,155.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,93.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,55.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,33.59232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,20.155392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,12.0932352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,7.25594112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,4.353564672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,2.612138803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,1.567283282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,7.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,3.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,1.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,20.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,8.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,3.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,1.31072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,1.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
