ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.1,1,0.7,8,96,0.78089546
0.1,1,0.7,10,97,0.781451478
0.1,1,0.9,0.1,98,0.017306284
0.1,1,0.9,0.5,99,0.073169229
0.1,1,0.9,1,100,0.138494849
0.1,1,0.9,4,101,0.498469898
0.1,1,0.9,6,102,0.699961802
0.1,1,0.9,8,103,0.800814913
0.1,1,0.9,10,104,0.811864164
0.1,3,0.1,0.1,105,0.819801327
0.1,3,0.1,0.5,106,0.829704542
0.1,3,0.1,1,107,0.829705842
0.1,3,0.1,4,108,0.829713973
0.1,3,0.1,6,109,0.82971918
0.1,3,0.1,8,110,0.829724252
0.1,3,0.1,10,111,0.829729213
0.1,3,0.3,0.1,112,0.471479047
0.1,3,0.3,0.5,113,0.825525319
0.1,3,0.3,1,114,0.82856114
0.1,3,0.3,4,115,0.828157921
0.1,3,0.3,6,116,0.828201074
0.1,3,0.3,8,117,0.828243525
0.1,3,0.3,10,118,0.828285114
0.1,3,0.5,0.1,119,0.231787247
0.1,3,0.5,0.5,120,0.702953882
0.1,3,0.5,1,121,0.821847575
0.1,3,0.5,4,122,0.825217266
0.1,3,0.5,6,123,0.825324892
0.1,3,0.5,8,124,0.825434629
0.1,3,0.5,10,125,0.825543383
0.1,3,0.7,0.1,126,0.11287636
0.1,3,0.7,0.5,127,0.393563149
0.1,3,0.7,1,128,0.63599074
0.1,3,0.7,4,129,0.826306409
0.1,3,0.7,6,130,0.824457037
0.1,3,0.7,8,131,0.821210825
0.1,3,0.7,10,132,0.821388424
0.1,3,0.9,0.1,133,0.038461505
0.1,3,0.9,0.5,134,0.131217536
0.1,3,0.9,1,135,0.226885425
0.1,3,0.9,4,136,0.638267621
0.1,3,0.9,6,137,0.750789709
0.1,3,0.9,8,138,0.814892851
0.1,3,0.9,10,139,0.823136963
0.1,5,0.1,0.1,140,0.82229921
0.1,5,0.1,0.5,141,0.829845531
0.1,5,0.1,1,142,0.829846021
0.1,5,0.1,4,143,0.829849097
0.1,5,0.1,6,144,0.829851074
0.1,5,0.1,8,145,0.829853003
0.1,5,0.1,10,146,0.829854891
0.1,5,0.3,0.1,147,0.619213691
0.1,5,0.3,0.5,148,0.826068201
0.1,5,0.3,1,149,0.829106067
0.1,5,0.3,4,150,0.829259888
0.1,5,0.3,6,151,0.829276516
0.1,5,0.3,8,152,0.829292804
0.1,5,0.3,10,153,0.829308757
0.1,5,0.5,0.1,154,0.348833027
0.1,5,0.5,0.5,155,0.762556433
