ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*500,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.7,0.5,22,0.112986089,60.03731224,3.954513115,1.9772565575,0.98862827875,20.012437413333338,0.98862827875
0.1,0.07,0.7,1.0,23,0.117082671,64.02169862,4.097893484999999,2.0489467424999996,1.0244733712499998,21.340566206666665,1.0244733712499998
0.1,0.07,0.7,4.0,24,0.118054541,64.91324561,4.131908935,2.0659544675,1.03297723375,21.637748536666667,1.03297723375
0.1,0.07,0.7,6.0,25,0.118283528,65.15149593,4.13992348,2.06996174,1.03498087,21.71716531,1.03498087
0.1,0.07,0.7,8.0,26,0.118508795,65.37055758,4.147807824999999,2.0739039124999996,1.0369519562499998,21.79018586,1.0369519562499998
0.1,0.07,0.7,10.0,27,0.118704827,65.58262348,4.154668945,2.0773344725,1.03866723625,21.86087449333333,1.03866723625
0.1,0.07,0.9,0.1,28,0.010789276,4.511336769,0.48551742,0.24275871,0.121379355,1.5037789229999998,0.121379355
0.1,0.07,0.9,0.5,29,0.046100584,23.15065411,2.07452628,1.03726314,0.51863157,7.716884703333334,0.51863157
0.1,0.07,0.9,1.0,30,0.07602907,46.8150802,3.4213081500000007,1.7106540750000003,0.8553270375000002,15.605026733333332,0.8553270375000002
0.1,0.07,0.9,4.0,31,0.092185681,64.84196108,4.148355645,2.0741778225,1.03708891125,21.613987026666667,1.03708891125
0.1,0.07,0.9,6.0,32,0.092412557,65.10173295,4.158565065,2.0792825325,1.03964126625,21.70057765,1.03964126625
0.1,0.07,0.9,8.0,33,0.092588844,65.32622436,4.16649798,2.08324899,1.041624495,21.77540812,1.041624495
0.1,0.07,0.9,10.0,34,0.092745256,65.54082167,4.17353652,2.08676826,1.04338413,21.846940556666667,1.04338413
0.1,0.1,0.1,0.1,35,0.619625219,28.4838881,3.0981260950000005,1.5490630475000002,0.7745315237500001,9.494629366666668,0.7745315237500001
0.1,0.1,0.1,0.5,36,0.631320708,55.28640033,3.15660354,1.57830177,0.789150885,18.42880011,0.789150885
0.1,0.1,0.1,1.0,37,0.630950485,55.67264938,3.1547524250000003,1.5773762125000002,0.7886881062500001,18.557549793333333,0.7886881062500001
0.1,0.1,0.1,4.0,38,0.632091201,56.07878606,3.1604560050000003,1.5802280025000002,0.7901140012500001,18.692928686666665,0.7901140012500001
0.1,0.1,0.1,6.0,39,0.633067448,56.25223954,3.165337240000001,1.5826686200000004,0.7913343100000002,18.750746513333333,0.7913343100000002
0.1,0.1,0.1,8.0,40,0.634053853,56.414529,3.1702692649999995,1.5851346324999998,0.7925673162499999,18.804843,0.7925673162499999
0.1,0.1,0.1,10.0,41,0.635052599,56.57500833,3.175262995,1.5876314975,0.79381574875,18.85833611,0.79381574875
0.1,0.1,0.3,0.1,42,0.195324101,21.67503717,2.929861515,1.4649307575,0.73246537875,7.22501239,0.73246537875
0.1,0.1,0.3,0.5,43,0.385103749,62.98893838,5.776556235,2.8882781175,1.44413905875,20.996312793333335,1.44413905875
0.1,0.1,0.3,1.0,44,0.388003398,64.17151679,5.8200509700000005,2.910025485,1.4550127425,21.390505596666667,1.4550127425
0.1,0.1,0.3,4.0,45,0.390075363,64.8986184,5.851130445,2.9255652225,1.46278261125,21.6328728,1.46278261125
0.1,0.1,0.3,6.0,46,0.390877815,65.13592968,5.863167225000001,2.9315836125000003,1.4657918062500002,21.71197656,1.4657918062500002
