ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx
0.1,0.07,0.36666667,8.9,0.1,1199.05,1.652841403,0.590213044,23.82901183,0.782964685,0.396325087,0.603674913,0.118082798,0.011267966,6.019752803,0.095424279,0.904575721,0.087462084,0.058099437,0.038190056,38
0.1,0.07,0.36666667,10,0.1,1199.05,1.64717112,0.590698457,23.84891592,0.782861009,0.393924081,0.606075919,0.118125589,0.011379474,6.020898084,0.096333689,0.903666311,0.087033623,0.058298495,0.038170151,39
0.1,0.07,0.45555556,0.1,0.1,1199.05,0.040232164,0.114637076,4.628151328,0.027600327,0.001137214,0.998862786,0.06807029,0.003348617,6.721305451,0.04919352,0.95080648,0.089384684,0.044490755,0.039550924,40
0.1,0.07,0.45555556,1.2,0.1,1199.05,1.673757496,0.542117887,21.88727743,0.648697577,0.403063546,0.596936454,0.117703893,0.010567568,6.014394581,0.089780957,0.910219043,0.089857621,0.05588053,0.038411947,41
0.1,0.07,0.45555556,2.3,0.1,1199.05,1.741015328,0.543322928,21.93560545,0.668252384,0.43341858,0.56658142,0.118784817,0.010879694,6.001581296,0.091591622,0.908408378,0.09008546,0.056979916,0.038302008,42
0.1,0.07,0.45555556,3.4,0.1,1199.05,1.739495008,0.543794949,21.95367812,0.669153813,0.432791709,0.567208291,0.118880082,0.010994329,6.001904115,0.092482503,0.907517497,0.089730747,0.057266737,0.038273326,43
0.1,0.07,0.45555556,4.5,0.1,1199.05,1.735347884,0.544206686,21.97162243,0.669250481,0.431002911,0.568997089,0.118937995,0.011102889,6.002748225,0.093350224,0.906649776,0.089328996,0.057497452,0.038250255,44
0.1,0.07,0.45555556,5.6,0.1,1199.05,1.730460431,0.544638315,21.98971401,0.669218243,0.428889249,0.571110751,0.118988636,0.011212844,6.003736793,0.094234576,0.905765424,0.088911038,0.057709413,0.038229059,45
0.1,0.07,0.45555556,6.7,0.1,1199.05,1.725252185,0.545108492,22.00793033,0.669209386,0.426635151,0.573364849,0.119038424,0.0113255,6.004784599,0.095141544,0.904858456,0.08848631,0.057913518,0.038208648,46
0.1,0.07,0.45555556,7.8,0.1,1199.05,1.719872419,0.545576747,22.02625844,0.66915096,0.424308607,0.575691393,0.119086297,0.011438293,6.005866601,0.09605045,0.90394955,0.08805816,0.058113616,0.038188638,47
0.1,0.07,0.45555556,8.9,0.1,1199.05,1.714388749,0.546013925,22.04467222,0.668980454,0.421940141,0.578059859,0.119130992,0.011549322,6.006972166,0.096946411,0.903053589,0.087628297,0.058311639,0.038168836,48
0.1,0.07,0.45555556,10,0.1,1199.05,1.708834679,0.546482749,22.06316249,0.668875637,0.419543102,0.580456898,0.119177236,0.011662553,6.008088606,0.097858893,0.902141107,0.087198048,0.058509045,0.038149096,49
0.1,0.07,0.54444444,0.1,0.1,1199.05,0.028759289,0.081095741,3.273032136,0.018604664,0.00072126,0.99927874,0.064892238,0.003142352,6.770835236,0.04842416,0.95157584,0.089774674,0.044181417,0.039581858,50
0.1,0.07,0.54444444,1.2,0.1,1199.05,1.473539615,0.479513785,19.35976525,0.466972096,0.318331435,0.681668565,0.114505346,0.009767954,6.05437679,0.085305657,0.914694343,0.089144596,0.054355036,0.038564496,51
0.1,0.07,0.54444444,2.3,0.1,1199.05,1.768201257,0.495759169,20.0134291,0.557713183,0.444833617,0.555166383,0.119252164,0.011003398,5.995853897,0.092269991,0.907730009,0.090178039,0.056990422,0.038300958,52
0.1,0.07,0.54444444,3.4,0.1,1199.05,1.768939282,0.496289288,20.03659732,0.55904578,0.445203723,0.554796277,0.119376535,0.011120623,5.995734794,0.093155849,0.906844151,0.089847395,0.057308024,0.038269198,53
0.1,0.07,0.54444444,4.5,0.1,1199.05,1.765307806,0.496711463,20.05465213,0.559256194,0.443626815,0.556373185,0.119442407,0.011230909,5.996475035,0.094027821,0.905972179,0.089452599,0.057546934,0.038245307,54
0.1,0.07,0.54444444,5.6,0.1,1199.05,1.760657882,0.497168334,20.07183437,0.559337169,0.441598523,0.558401477,0.119498951,0.01134369,5.997412329,0.094927111,0.905072889,0.089037581,0.057762233,0.038223777,55
0.1,0.07,0.54444444,6.7,0.1,1199.05,1.755597695,0.497592193,20.08876832,0.559259361,0.439390177,0.560609823,0.119549613,0.011455531,5.998431976,0.0958224,0.9041776,0.088613755,0.057967359,0.038203264,56
0.1,0.07,0.54444444,7.8,0.1,1199.05,1.750326122,0.498017286,20.10562442,0.559139485,0.437090528,0.562909472,0.119598371,0.011567939,5.999492806,0.096723211,0.903276789,0.088185615,0.058167479,0.038183252,57
0.1,0.07,0.54444444,8.9,0.1,1199.05,1.74492872,0.498390985,20.1224624,0.558876818,0.43473774,0.56526226,0.119643311,0.011678194,6.000581383,0.097608413,0.902391587,0.087755432,0.058365137,0.038163486,58
0.1,0.07,0.54444444,10,0.1,1199.05,1.73944744,0.498815093,20.13931247,0.55870783,0.432350509,0.567649491,0.11969027,0.011791246,6.001682937,0.098514659,0.901485341,0.087324274,0.058561551,0.038143845,59
0.1,0.07,0.63333333,0.1,0.1,1199.05,0.01906469,0.056642581,2.28668405,0.01253859,0.000414384,0.999585616,0.061041484,0.002908083,6.831109974,0.047641086,0.952358914,0.09027649,0.04383414,0.039616586,60
0.1,0.07,0.63333333,1.2,0.1,1199.05,1.169707149,0.398329818,16.08151259,0.294351103,0.206399158,0.793600842,0.109322751,0.008555718,6.120549447,0.078261093,0.921738907,0.088414222,0.052465806,0.038753419,61
0.1,0.07,0.63333333,2.3,0.1,1199.05,1.776440584,0.449312252,18.14090127,0.464206707,0.448123459,0.551876541,0.119383718,0.011024537,5.994013649,0.092345399,0.907654601,0.090232901,0.05684511,0.038315489,62
0.1,0.07,0.63333333,3.4,0.1,1199.05,1.784121262,0.450359732,18.17958609,0.4674658,0.451615831,0.548384169,0.119616695,0.011168456,5.992529353,0.093368692,0.906631308,0.089967386,0.0572484,0.03827516,63
0.1,0.07,0.63333333,4.5,0.1,1199.05,1.781372415,0.450801633,18.19840187,0.467838371,0.450424654,0.549575346,0.119694828,0.011280493,5.993094415,0.094243771,0.905756229,0.089585711,0.0575026,0.03824974,64
0.1,0.07,0.63333333,5.6,0.1,1199.05,1.777039426,0.451205746,18.21473146,0.467872545,0.448528005,0.551471995,0.119753599,0.011391867,5.993971135,0.095127545,0.904872455,0.089176227,0.057723922,0.038227608,65
0.1,0.07,0.63333333,6.7,0.1,1199.05,1.772144559,0.451563686,18.23034403,0.467723237,0.446382883,0.553617117,0.119804721,0.011502321,5.994960012,0.096008913,0.903991087,0.088755067,0.057931769,0.038206823,66
