ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial,time_axis,NPQ,Phi2,LEF,qL,Z,V,pmf,Dy,pHlumen,fraction_Dy,fraction_DpH,Klumen,Cl_lumen,Cl_stroma,idx,v_ATP_made,Phi2*PSII_antenna_size*ratio_absorb*100,NADPH,2NADPH,3_v_ATP_made,CO2
0.1,0.07,0.27777778,6.7,0.1,1199.05,1.53827777,0.627804069,25.3473174,0.877347886,0.349572428,0.650427572,0.115883538,0.01049027,6.04344553,0.090524246,0.909475754,0.088011467,0.0571522,0.03828478,26,56.67676487150538,1.7439002056178678,0.8719501028089339,0.4359750514044669,18.892254957168458,0.4359750514044669
0.1,0.07,0.27777778,7.8,0.1,1199.05,1.532565409,0.628319103,25.36822482,0.877305543,0.347254364,0.652745636,0.115923907,0.010600969,6.044617696,0.091447648,0.908552352,0.087586965,0.05735515,0.038264485,27,56.771195704849966,1.7453308556293134,0.8726654278146567,0.4363327139073283,18.923731901616655,0.4363327139073283
0.1,0.07,0.27777778,8.9,0.1,1199.05,1.526787435,0.628848441,25.38934549,0.877290841,0.344911095,0.655088905,0.115965003,0.010713086,6.045801376,0.092382057,0.907617943,0.087161929,0.057557326,0.038244267,28,56.86742461842843,1.74680123897441,0.873400619487205,0.4367003097436025,18.95580820614281,0.4367003097436025
0.1,0.07,0.27777778,10.0,0.1,1199.05,1.520970052,0.629369419,25.41060758,0.877227529,0.342557734,0.657442266,0.116004337,0.010824123,6.046996432,0.093307916,0.906692084,0.086736837,0.057759274,0.038224073,29,56.95961970991408,1.748248400097098,0.874124200048549,0.4370621000242745,18.986539903304692,0.4370621000242745
0.1,0.07,0.36666667,0.1,0.1,1199.05,0.053396873,0.163910365,6.61742274,0.042318064,0.001673773,0.998326227,0.07078192,0.003535727,6.679230113,0.049952404,0.950047596,0.089072386,0.044773962,0.039522604,30,5.727426098367916,0.6010046771303454,0.3005023385651727,0.1502511692825863,1.9091420327893056,0.1502511692825863
0.1,0.07,0.36666667,1.2,0.1,1199.05,1.666065587,0.587538897,23.72122552,0.778224059,0.40155522,0.59844478,0.117444493,0.010457509,6.0168836,0.089042141,0.910957859,0.090065345,0.056215688,0.038378431,31,60.39619517524521,2.15430930858463,1.077154654292315,0.5385773271461575,20.13206505841507,0.5385773271461575
0.1,0.07,0.36666667,2.3,0.1,1199.05,1.681968349,0.587435163,23.7174022,0.782531015,0.408662118,0.591337882,0.117771714,0.010602736,6.013850372,0.090027866,0.909972134,0.089934405,0.056789228,0.038321077,32,61.19324183022318,2.153928950581172,1.076964475290586,0.538482237645293,20.39774727674106,0.538482237645293
0.1,0.07,0.36666667,3.4,0.1,1199.05,1.679107923,0.587839199,23.73325246,0.783000921,0.407471876,0.592528124,0.117846624,0.010713163,6.014442308,0.090907675,0.909092325,0.089566142,0.057058505,0.03829415,33,61.37653337308744,2.1554104159279732,1.0777052079639866,0.5388526039819933,20.458844457695815,0.5388526039819933
0.1,0.07,0.36666667,4.5,0.1,1199.05,1.674514655,0.588270227,23.75137107,0.783050472,0.405524423,0.594475577,0.117898723,0.010821322,6.015376646,0.091784892,0.908215108,0.089160715,0.057284422,0.038271558,34,61.50419062095343,2.1569908519423406,1.0784954259711703,0.5392477129855852,20.501396873651142,0.5392477129855852
0.1,0.07,0.36666667,5.6,0.1,1199.05,1.669372287,0.588750749,23.7703047,0.783097236,0.403339663,0.596660337,0.11794787,0.010932795,6.016415416,0.092691751,0.907308249,0.088742023,0.057495122,0.038250488,35,61.62474981163309,2.1587527659583583,1.0793763829791791,0.5396881914895896,20.54158327054436,0.5396881914895896
