ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.3,0.07,0.9,10.0,244,0.507232244,0.190669953,17.16029577
0.3,0.1,0.1,0.1,245,0.672211333,0.507232244,5.072322440000001
0.3,0.1,0.1,0.5,246,0.667750057,0.672211333,6.72211333
0.3,0.1,0.1,1.0,247,0.668429504,0.667750057,6.67750057
0.3,0.1,0.1,4.0,248,0.669309557,0.668429504,6.68429504
0.3,0.1,0.1,6.0,249,0.670197326,0.669309557,6.6930955700000005
0.3,0.1,0.1,8.0,250,0.671062468,0.670197326,6.701973260000001
0.3,0.1,0.1,10.0,251,0.172678768,0.671062468,6.7106246800000005
0.3,0.1,0.3,0.1,252,0.562113782,0.172678768,5.1803630400000005
0.3,0.1,0.3,0.5,253,0.579785196,0.562113782,16.863413459999997
0.3,0.1,0.3,1.0,254,0.580180609,0.579785196,17.39355588
0.3,0.1,0.3,4.0,255,0.581018092,0.580180609,17.405418270000002
0.3,0.1,0.3,6.0,256,0.581876537,0.581018092,17.430542759999998
0.3,0.1,0.3,8.0,257,0.582767712,0.581876537,17.45629611
0.3,0.1,0.3,10.0,258,0.1038403,0.582767712,17.48303136
0.3,0.1,0.5,0.1,259,0.371462731,0.1038403,5.192015
0.3,0.1,0.5,0.5,260,0.439517271,0.371462731,18.57313655
0.3,0.1,0.5,1.0,261,0.443710426,0.439517271,21.97586355
0.3,0.1,0.5,4.0,262,0.444491732,0.443710426,22.185521299999998
0.3,0.1,0.5,6.0,263,0.445281735,0.444491732,22.2245866
0.3,0.1,0.5,8.0,264,0.446048397,0.445281735,22.26408675
0.3,0.1,0.5,10.0,265,0.074231703,0.446048397,22.30241985
0.3,0.1,0.7,0.1,266,0.270434071,0.074231703,5.196219209999999
0.3,0.1,0.7,0.5,267,0.331999878,0.270434071,18.93038497
0.3,0.1,0.7,1.0,268,0.337417413,0.331999878,23.239991460000002
0.3,0.1,0.7,4.0,269,0.338084539,0.337417413,23.619218909999997
0.3,0.1,0.7,6.0,270,0.338703627,0.338084539,23.66591773
0.3,0.1,0.7,8.0,271,0.339371237,0.338703627,23.70925389
0.3,0.1,0.7,10.0,272,0.05776632,0.339371237,23.755986589999996
0.3,0.1,0.9,0.1,273,0.211969106,0.05776632,5.1989688
