ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2,Phi2*PSII_antenna_size*100
0.1,7.0,0.5,8.0,194,0.813436472,40.6718236
0.1,7.0,0.5,10.0,195,0.813779304,40.6889652
0.1,7.0,0.7,0.1,196,0.089088528,6.23619696
0.1,7.0,0.7,0.5,197,0.401258593,28.088101509999998
0.1,7.0,0.7,1.0,198,0.732819196,51.29734372
0.1,7.0,0.7,4.0,199,0.805541272,56.38788904
0.1,7.0,0.7,6.0,200,0.801361287,56.09529008999999
0.1,7.0,0.7,8.0,201,0.80187858,56.131500599999995
0.1,7.0,0.7,10.0,202,0.802397879,56.16785153
0.1,7.0,0.9,0.1,203,0.069363492,6.24271428
0.1,7.0,0.9,0.5,204,0.314128794,28.27159146
0.1,7.0,0.9,1.0,205,0.595350508,53.58154572
0.1,7.0,0.9,4.0,206,0.805751541,72.51763869000001
0.1,7.0,0.9,6.0,207,0.789232682,71.03094138
0.1,7.0,0.9,8.0,208,0.78985187,71.0866683
0.1,7.0,0.9,10.0,209,0.790509079,71.14581711
0.3,0.07,0.1,0.1,210,0.33368286,3.3368286000000005
0.3,0.07,0.1,0.5,211,0.395268878,3.95268878
0.3,0.07,0.1,1.0,212,0.397636751,3.9763675100000007
0.3,0.07,0.1,4.0,213,0.400355091,4.00355091
0.3,0.07,0.1,6.0,214,0.401444675,4.01444675
0.3,0.07,0.1,8.0,215,0.40243997,4.0243997
0.3,0.07,0.1,10.0,216,0.403388927,4.03388927
0.3,0.07,0.3,0.1,217,0.112374754,3.37124262
0.3,0.07,0.3,0.5,218,0.134134481,4.02403443
0.3,0.07,0.3,1.0,219,0.135152697,4.054580909999999
0.3,0.07,0.3,4.0,220,0.136328334,4.08985002
0.3,0.07,0.3,6.0,221,0.136793261,4.1037978299999995
0.3,0.07,0.3,8.0,222,0.137248807,4.11746421
0.3,0.07,0.3,10.0,223,0.137664616,4.12993848
0.3,0.07,0.5,0.1,224,0.06752811,3.3764055
0.3,0.07,0.5,0.5,225,0.080003268,4.0001634
0.3,0.07,0.5,1.0,226,0.080541446,4.0270723
0.3,0.07,0.5,4.0,227,0.081258898,4.0629449
0.3,0.07,0.5,6.0,228,0.081554418,4.0777209
0.3,0.07,0.5,8.0,229,0.08182642,4.091321
0.3,0.07,0.5,10.0,230,0.08207941,4.1039705
0.3,0.07,0.7,0.1,231,0.048314324,3.38200268
0.3,0.07,0.7,0.5,232,0.057139671,3.9997769699999997
0.3,0.07,0.7,1.0,233,0.057543759,4.02806313
0.3,0.07,0.7,4.0,234,0.058037467,4.0626226899999995
0.3,0.07,0.7,6.0,235,0.058256673,4.0779671099999995
0.3,0.07,0.7,8.0,236,0.058449342,4.09145394
0.3,0.07,0.7,10.0,237,0.058631328,4.10419296
0.3,0.07,0.9,0.1,238,0.037594034,3.38346306
