ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2,Phi2*PSII_antenna_size*100
0.1,0.07,0.7,6.0,25,0.561094782,0.560260132,3.9218209240000004
0.1,0.07,0.7,8.0,26,0.561971624,0.561094782,3.9276634739999996
0.1,0.07,0.7,10.0,27,0.059926609,0.561971624,3.9338013680000006
0.1,0.07,0.9,0.1,28,0.267738039,0.059926609,0.5393394810000001
0.1,0.07,0.9,0.5,29,0.420422244,0.267738039,2.409642351
0.1,0.07,0.9,1.0,30,0.492332211,0.420422244,3.7838001960000005
0.1,0.07,0.9,4.0,31,0.493166048,0.492332211,4.430989899000001
0.1,0.07,0.9,6.0,32,0.493995876,0.493166048,4.438494432000001
0.1,0.07,0.9,8.0,33,0.494823424,0.493995876,4.445962884
0.1,0.07,0.9,10.0,34,0.532622828,0.494823424,4.453410816
0.1,0.1,0.1,0.1,35,0.773141071,0.532622828,0.5326228280000002
0.1,0.1,0.1,0.5,36,0.755130555,0.773141071,0.7731410710000001
0.1,0.1,0.1,1.0,37,0.755301076,0.755130555,0.7551305550000001
0.1,0.1,0.1,4.0,38,0.756091235,0.755301076,0.7553010760000001
0.1,0.1,0.1,6.0,39,0.756938817,0.756091235,0.7560912350000001
0.1,0.1,0.1,8.0,40,0.75781199,0.756938817,0.7569388170000001
0.1,0.1,0.1,10.0,41,0.181734869,0.75781199,0.7578119900000001
0.1,0.1,0.3,0.1,42,0.730375299,0.181734869,0.545204607
0.1,0.1,0.3,0.5,43,0.705190059,0.730375299,2.191125897
0.1,0.1,0.3,1.0,44,0.668287489,0.705190059,2.115570177
0.1,0.1,0.3,4.0,45,0.66914864,0.668287489,2.004862467
0.1,0.1,0.3,6.0,46,0.670081567,0.66914864,2.00744592
0.1,0.1,0.3,8.0,47,0.671036546,0.670081567,2.010244701
0.1,0.1,0.3,10.0,48,0.109303756,0.671036546,2.013109638
0.1,0.1,0.5,0.1,49,0.494114967,0.109303756,0.54651878
0.1,0.1,0.5,0.5,50,0.683402994,0.494114967,2.470574835
0.1,0.1,0.5,1.0,51,0.635581455,0.683402994,3.4170149700000008
0.1,0.1,0.5,4.0,52,0.636307017,0.635581455,3.177907275
0.1,0.1,0.5,6.0,53,0.637144912,0.636307017,3.181535085
0.1,0.1,0.5,8.0,54,0.638023272,0.637144912,3.18572456
0.1,0.1,0.5,10.0,55,0.078145075,0.638023272,3.1901163599999998
0.1,0.1,0.7,0.1,56,0.358106639,0.078145075,0.547015525
0.1,0.1,0.7,0.5,57,0.586577784,0.358106639,2.506746473
0.1,0.1,0.7,1.0,58,0.611938559,0.586577784,4.106044488
0.1,0.1,0.7,4.0,59,0.612580554,0.611938559,4.283569913
0.1,0.1,0.7,6.0,60,0.613391601,0.612580554,4.288063878
0.1,0.1,0.7,8.0,61,0.614245664,0.613391601,4.293741207
0.1,0.1,0.7,10.0,62,0.060810779,0.614245664,4.299719648
0.1,0.1,0.9,0.1,63,0.280022555,0.060810779,0.547297011
0.1,0.1,0.9,0.5,64,0.479655753,0.280022555,2.520202995
0.1,0.1,0.9,1.0,65,0.579961752,0.479655753,4.316901777000001
0.1,0.1,0.9,4.0,66,0.580638917,0.579961752,5.219655768000001
0.1,0.1,0.9,6.0,67,0.581451887,0.580638917,5.225750253
0.1,0.1,0.9,8.0,68,0.582311636,0.581451887,5.2330669830000005
0.1,0.1,0.9,10.0,69,0.577950693,0.582311636,5.240804724
0.1,1.0,0.1,0.1,70,0.828526616,0.577950693,0.5779506930000001
0.1,1.0,0.1,0.5,71,0.828096984,0.828526616,0.8285266160000001
0.1,1.0,0.1,1.0,72,0.828158512,0.828096984,0.8280969840000001
0.1,1.0,0.1,4.0,73,0.828200275,0.828158512,0.8281585120000002
0.1,1.0,0.1,6.0,74,0.828240973,0.828200275,0.8282002750000002
0.1,1.0,0.1,8.0,75,0.828280679,0.828240973,0.8282409730000001
0.1,1.0,0.1,10.0,76,0.202116316,0.828280679,0.8282806790000001
0.1,1.0,0.3,0.1,77,0.796882498,0.202116316,0.6063489479999999
0.1,1.0,0.3,0.5,78,0.824870124,0.796882498,2.390647494
0.1,1.0,0.3,1.0,79,0.816509357,0.824870124,2.4746103720000003
0.1,1.0,0.3,4.0,80,0.816766996,0.816509357,2.449528071
0.1,1.0,0.3,6.0,81,0.817025972,0.816766996,2.450300988
0.1,1.0,0.3,8.0,82,0.817283783,0.817025972,2.4510779160000005
0.1,1.0,0.3,10.0,83,0.121840612,0.817283783,2.451851349
0.1,1.0,0.5,0.1,84,0.545908725,0.121840612,0.60920306
0.1,1.0,0.5,0.5,85,0.816235937,0.545908725,2.729543625
