ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2_initial,Phi2
0.3,3,0.1,4,318,0.828200275,0.828158512
0.3,3,0.1,6,319,0.828240973,0.828200275
0.3,3,0.1,8,320,0.828280679,0.828240973
0.3,3,0.1,10,321,0.202116316,0.828280679
0.3,3,0.3,0.1,322,0.796882498,0.202116316
0.3,3,0.3,0.5,323,0.824870124,0.796882498
0.3,3,0.3,1,324,0.816509357,0.824870124
0.3,3,0.3,4,325,0.816766996,0.816509357
0.3,3,0.3,6,326,0.817025972,0.816766996
0.3,3,0.3,8,327,0.817283783,0.817025972
0.3,3,0.3,10,328,0.121840612,0.817283783
0.3,3,0.5,0.1,329,0.545908725,0.121840612
0.3,3,0.5,0.5,330,0.816235937,0.545908725
0.3,3,0.5,1,331,0.799040611,0.816235937
0.3,3,0.5,4,332,0.799466535,0.799040611
0.3,3,0.5,6,333,0.799940648,0.799466535
0.3,3,0.5,8,334,0.800427886,0.799940648
0.3,3,0.5,10,335,0.087182232,0.800427886
0.3,3,0.7,0.1,336,0.396295313,0.087182232
0.3,3,0.7,0.5,337,0.727508136,0.396295313
0.3,3,0.7,1,338,0.788051001,0.727508136
0.3,3,0.7,4,339,0.780976644,0.788051001
0.3,3,0.7,6,340,0.781551092,0.780976644
0.3,3,0.7,8,341,0.782188356,0.781551092
0.3,3,0.7,10,342,0.067870911,0.782188356
0.3,3,0.9,0.1,343,0.310055866,0.067870911
0.3,3,0.9,0.5,344,0.589573201,0.310055866
0.3,3,0.9,1,345,0.788523705,0.589573201
0.3,3,0.9,4,346,0.763758359,0.788523705
0.3,3,0.9,6,347,0.764209825,0.763758359
0.3,3,0.9,8,348,0.764924566,0.764209825
0.3,3,0.9,10,349,0.591135979,0.764924566
0.3,5,0.1,0.1,350,0.829145166,0.591135979
0.3,5,0.1,0.5,351,0.829232211,0.829145166
0.3,5,0.1,1,352,0.829256906,0.829232211
0.3,5,0.1,4,353,0.829273078,0.829256906
0.3,5,0.1,6,354,0.829288842,0.829273078
0.3,5,0.1,8,355,0.829304255,0.829288842
0.3,5,0.1,10,356,0.208795468,0.829304255
0.3,5,0.3,0.1,357,0.799334578,0.208795468
0.3,5,0.3,0.5,358,0.827035327,0.799334578
0.3,5,0.3,1,359,0.824547824,0.827035327
0.3,5,0.3,4,360,0.824669068,0.824547824
0.3,5,0.3,6,361,0.824790328,0.824669068
0.3,5,0.3,8,362,0.824910087,0.824790328
0.3,5,0.3,10,363,0.125976642,0.824910087
0.3,5,0.5,0.1,364,0.55491338,0.125976642
0.3,5,0.5,0.5,365,0.818862755,0.55491338
0.3,5,0.5,1,366,0.816363934,0.818862755
0.3,5,0.5,4,367,0.816628778,0.816363934
0.3,5,0.5,6,368,0.816905786,0.816628778
0.3,5,0.5,8,369,0.817182648,0.816905786
0.3,5,0.5,10,370,0.090171812,0.817182648
0.3,5,0.7,0.1,371,0.403954393,0.090171812
0.3,5,0.7,0.5,372,0.734445627,0.403954393
0.3,5,0.7,1,373,0.811544986,0.734445627
0.3,5,0.7,4,374,0.806434155,0.811544986
0.3,5,0.7,6,375,0.806854287,0.806434155
0.3,5,0.7,8,376,0.807288062,0.806854287
0.3,5,0.7,10,377,0.070209423,0.807288062
0.3,5,0.9,0.1,378,0.316362787,0.070209423
0.3,5,0.9,0.5,379,0.597948702,0.316362787
0.3,5,0.9,1,380,0.811597628,0.597948702
0.3,5,0.9,4,381,0.795386455,0.811597628
0.3,5,0.9,6,382,0.795773419,0.795386455
0.3,5,0.9,8,383,0.796323628,0.795773419
0.3,5,0.9,10,384,0.600707704,0.796323628
0.3,7,0.1,0.1,385,0.829325669,0.600707704
0.3,7,0.1,0.5,386,0.829561053,0.829325669
0.3,7,0.1,1,387,0.829574251,0.829561053
0.3,7,0.1,4,388,0.829582799,0.829574251
0.3,7,0.1,6,389,0.829591156,0.829582799
0.3,7,0.1,8,390,0.82959933,0.829591156
0.3,7,0.1,10,391,0.213873001,0.82959933
0.3,7,0.3,0.1,392,0.800610406,0.213873001
0.3,7,0.3,0.5,393,0.827679207,0.800610406
0.3,7,0.3,1,394,0.82704847,0.827679207
0.3,7,0.3,4,395,0.827116366,0.82704847
0.3,7,0.3,6,396,0.827184018,0.827116366
0.3,7,0.3,8,397,0.827250895,0.827184018
0.3,7,0.3,10,398,0.129130538,0.827250895
0.3,7,0.5,0.1,399,0.561391525,0.129130538
0.3,7,0.5,0.5,400,0.819758141,0.561391525
0.3,7,0.5,1,401,0.822435479,0.819758141
0.3,7,0.5,4,402,0.82259818,0.822435479
0.3,7,0.5,6,403,0.822765302,0.82259818
0.3,7,0.5,8,404,0.822931569,0.822765302
0.3,7,0.5,10,405,0.09244887,0.822931569
0.3,7,0.7,0.1,406,0.409587497,0.09244887
0.3,7,0.7,0.5,407,0.738483344,0.409587497
0.3,7,0.7,1,408,0.819696119,0.738483344
0.3,7,0.7,4,409,0.816459003,0.819696119
0.3,7,0.7,6,410,0.816739974,0.816459003
0.3,7,0.7,8,411,0.81702513,0.816739974
0.3,7,0.7,10,412,0.071992678,0.81702513
0.3,7,0.9,0.1,413,0.321029655,0.071992678
0.3,7,0.9,0.5,414,0.603581653,0.321029655
0.3,7,0.9,1,415,0.819542981,0.603581653
0.3,7,0.9,4,416,0.80950734,0.819542981
0.3,7,0.9,6,417,0.809572687,0.80950734
0.3,7,0.9,8,418,0.809972534,0.809572687
0.3,7,0.9,10,419,0.419938834,0.809972534
0.7,0.07,0.1,0.1,420,0.558180806,0.419938834
0.7,0.07,0.1,0.5,421,0.558445546,0.558180806
0.7,0.07,0.1,1,422,0.5597287,0.558445546
0.7,0.07,0.1,4,423,0.560594346,0.5597287
0.7,0.07,0.1,6,424,0.561464989,0.560594346
0.7,0.07,0.1,8,425,0.562331327,0.561464989
0.7,0.07,0.1,10,426,0.144438224,0.562331327
0.7,0.07,0.3,0.1,427,0.239071048,0.144438224
0.7,0.07,0.3,0.5,428,0.241179481,0.239071048
0.7,0.07,0.3,1,429,0.242581553,0.241179481
0.7,0.07,0.3,4,430,0.243135051,0.242581553
0.7,0.07,0.3,6,431,0.243539641,0.243135051
0.7,0.07,0.3,8,432,0.244056951,0.243539641
0.7,0.07,0.3,10,433,0.086998773,0.244056951
0.7,0.07,0.5,0.1,434,0.143939644,0.086998773
0.7,0.07,0.5,0.5,435,0.145264728,0.143939644
0.7,0.07,0.5,1,436,0.146122005,0.145264728
0.7,0.07,0.5,4,437,0.146516713,0.146122005
0.7,0.07,0.5,6,438,0.146765237,0.146516713
0.7,0.07,0.5,8,439,0.147100244,0.146765237
0.7,0.07,0.5,10,440,0.062239793,0.147100244
0.7,0.07,0.7,0.1,441,0.102793109,0.062239793
0.7,0.07,0.7,0.5,442,0.103670784,0.102793109
0.7,0.07,0.7,1,443,0.10432854,0.103670784
0.7,0.07,0.7,4,444,0.10455207,0.10432854
0.7,0.07,0.7,6,445,0.104844762,0.10455207
0.7,0.07,0.7,8,446,0.105066191,0.104844762
0.7,0.07,0.7,10,447,0.048452612,0.105066191
0.7,0.07,0.9,0.1,448,0.080057945,0.048452612
0.7,0.07,0.9,0.5,449,0.080705607,0.080057945
0.7,0.07,0.9,1,450,0.081202557,0.080705607
0.7,0.07,0.9,4,451,0.081420813,0.081202557
0.7,0.07,0.9,6,452,0.081610553,0.081420813
0.7,0.07,0.9,8,453,0.081800387,0.081610553
0.7,0.07,0.9,10,454,0.460140588,0.081800387
0.7,0.1,0.1,0.1,455,0.612892884,0.460140588
0.7,0.1,0.1,0.5,456,0.611498199,0.612892884
0.7,0.1,0.1,1,457,0.612176564,0.611498199
0.7,0.1,0.1,4,458,0.612989519,0.612176564
0.7,0.1,0.1,6,459,0.613829973,0.612989519
0.7,0.1,0.1,8,460,0.614680592,0.613829973
0.7,0.1,0.1,10,461,0.157697471,0.614680592
0.7,0.1,0.3,0.1,462,0.331108892,0.157697471
0.7,0.1,0.3,0.5,463,0.335640404,0.331108892
0.7,0.1,0.3,1,464,0.337585085,0.335640404
0.7,0.1,0.3,4,465,0.33820784,0.337585085
0.7,0.1,0.3,6,466,0.338836449,0.33820784
0.7,0.1,0.3,8,467,0.339417957,0.338836449
0.7,0.1,0.3,10,468,0.094918413,0.339417957
0.7,0.1,0.5,0.1,469,0.203778926,0.094918413
0.7,0.1,0.5,0.5,470,0.207273522,0.203778926
0.7,0.1,0.5,1,471,0.208718552,0.207273522
0.7,0.1,0.5,4,472,0.209114417,0.208718552
0.7,0.1,0.5,6,473,0.209508316,0.209114417
0.7,0.1,0.5,8,474,0.209967594,0.209508316
0.7,0.1,0.5,10,475,0.067878696,0.209967594
0.7,0.1,0.7,0.1,476,0.145722414,0.067878696
0.7,0.1,0.7,0.5,477,0.148099736,0.145722414
0.7,0.1,0.7,1,478,0.149145411,0.148099736
0.7,0.1,0.7,4,479,0.149466182,0.149145411
0.7,0.1,0.7,6,480,0.149802063,0.149466182
0.7,0.1,0.7,8,481,0.150130736,0.149802063
0.7,0.1,0.7,10,482,0.052837793,0.150130736
0.7,0.1,0.9,0.1,483,0.113328919,0.052837793
0.7,0.1,0.9,0.5,484,0.115073747,0.113328919
0.7,0.1,0.9,1,485,0.11589976,0.115073747
0.7,0.1,0.9,4,486,0.116176084,0.11589976
0.7,0.1,0.9,6,487,0.116468076,0.116176084
0.7,0.1,0.9,8,488,0.116672537,0.116468076
0.7,0.1,0.9,10,489,0.538978649,0.116672537
0.7,1,0.1,0.1,490,0.796185277,0.538978649
0.7,1,0.1,0.5,491,0.780334775,0.796185277
0.7,1,0.1,1,492,0.780495983,0.780334775
0.7,1,0.1,4,493,0.781143758,0.780495983
0.7,1,0.1,6,494,0.78184431,0.781143758
0.7,1,0.1,8,495,0.782566048,0.78184431
0.7,1,0.1,10,496,0.184308412,0.782566048
