ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,Phi2
0.3,3,0.5,8,334,0.6972456
0.3,3,0.5,10,335,0.698244866
0.3,3,0.7,0.1,336,0.080385367
0.3,3,0.7,0.5,337,0.375400334
0.3,3,0.7,1,338,0.683930821
0.3,3,0.7,4,339,0.67289212
0.3,3,0.7,6,340,0.673633285
0.3,3,0.7,8,341,0.674537044
0.3,3,0.7,10,342,0.675519344
0.3,3,0.9,0.1,343,0.062557315
0.3,3,0.9,0.5,344,0.293226845
0.3,3,0.9,1,345,0.55486693
0.3,3,0.9,4,346,0.657763398
0.3,3,0.9,6,347,0.658414753
0.3,3,0.9,8,348,0.659353934
0.3,3,0.9,10,349,0.660335498
0.3,5,0.1,0.1,350,0.554378045
0.3,5,0.1,0.5,351,0.821859535
0.3,5,0.1,1,352,0.816960752
0.3,5,0.1,4,353,0.817267176
0.3,5,0.1,6,354,0.817518872
0.3,5,0.1,8,355,0.817774271
0.3,5,0.1,10,356,0.818027295
0.3,5,0.3,0.1,357,0.190960262
0.3,5,0.3,0.5,358,0.7874489
0.3,5,0.3,1,359,0.803940465
0.3,5,0.3,4,360,0.769479179
0.3,5,0.3,6,361,0.770071459
0.3,5,0.3,8,362,0.770811744
0.3,5,0.3,10,363,0.771606165
0.3,5,0.5,0.1,364,0.114954953
0.3,5,0.5,0.5,365,0.528493156
0.3,5,0.5,1,366,0.796213684
0.3,5,0.5,4,367,0.733036161
0.3,5,0.5,6,368,0.733690777
0.3,5,0.5,8,369,0.734554718
0.3,5,0.5,10,370,0.735488496
0.3,5,0.7,0.1,371,0.082216081
0.3,5,0.7,0.5,372,0.382149062
0.3,5,0.7,1,373,0.70588542
0.3,5,0.7,4,374,0.708025438
0.3,5,0.7,6,375,0.708562926
0.3,5,0.7,8,376,0.709445826
0.3,5,0.7,10,377,0.710417648
0.3,5,0.9,0.1,378,0.063986016
0.3,5,0.9,0.5,379,0.298564874
0.3,5,0.9,1,380,0.569869185
0.3,5,0.9,4,381,0.690722651
0.3,5,0.9,6,382,0.690489773
0.3,5,0.9,8,383,0.691341634
0.3,5,0.9,10,384,0.692309072
0.3,7,0.1,0.1,385,0.561004007
0.3,7,0.1,0.5,386,0.825403194
0.3,7,0.1,1,387,0.822682155
0.3,7,0.1,4,388,0.822896245
0.3,7,0.1,6,389,0.823050306
0.3,7,0.1,8,390,0.823199759
0.3,7,0.1,10,391,0.82334579
0.3,7,0.3,0.1,392,0.193993644
0.3,7,0.3,0.5,393,0.7918212
0.3,7,0.3,1,394,0.814648896
0.3,7,0.3,4,395,0.789542965
