P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial.1,Phi2,Result
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.7,0.7,0.521836758,36.52857306
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,1.0,0.9,0.7,0.411181239,37.00631151
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.1,0.7,0.773295883,7.73295883
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.3,0.7,0.768705575,23.06116725
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
0.7,0.1,3.0,0.5,0.7,0.70104242,35.052121
