ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Phi2,Result
0.1,5.0,0.7,0.5,0.084843824,5.939067679999999
0.1,5.0,0.7,1.0,0.098753129,6.912719029999999
0.1,5.0,0.7,4.0,0.182000481,12.740033669999997
0.1,5.0,0.7,6.0,0.23741242,16.6188694
0.1,5.0,0.7,8.0,0.292745119,20.49215833
0.1,5.0,0.7,10.0,0.347981577,24.358710389999995
0.1,5.0,0.9,0.1,0.057321012,5.15889108
0.1,5.0,0.9,0.5,0.066095618,5.9486056199999995
0.1,5.0,0.9,1.0,0.076928885,6.923599650000001
0.1,5.0,0.9,4.0,0.141819773,12.76377957
0.1,5.0,0.9,6.0,0.185037563,16.653380669999997
0.1,5.0,0.9,8.0,0.228226259,20.540363309999996
0.1,5.0,0.9,10.0,0.271372689,24.423542010000002
0.1,7.0,0.1,0.1,0.322800437,3.2280043700000003
0.1,7.0,0.1,0.5,0.548006375,5.48006375
0.1,7.0,0.1,1.0,0.637020696,6.370206960000001
0.1,7.0,0.1,4.0,0.911169633,9.111696330000001
0.1,7.0,0.1,6.0,0.950143821,9.501438210000002
0.1,7.0,0.1,8.0,0.965951339,9.65951339
0.1,7.0,0.1,10.0,0.974260515,9.74260515
0.1,7.0,0.3,0.1,0.16905495,5.0716485
0.1,7.0,0.3,0.5,0.199371443,5.98114329
0.1,7.0,0.3,1.0,0.235324594,7.059737819999999
0.1,7.0,0.3,4.0,0.448087354,13.442620619999998
0.1,7.0,0.3,6.0,0.585865555,17.575966649999998
0.1,7.0,0.3,8.0,0.716056376,21.48169128
0.1,7.0,0.3,10.0,0.828282312,24.84846936
0.1,7.0,0.5,0.1,0.102876944,5.1438472
0.1,7.0,0.5,0.5,0.120712773,6.03563865
0.1,7.0,0.5,1.0,0.142522918,7.1261459
0.1,7.0,0.5,4.0,0.272823443,13.64117215
0.1,7.0,0.5,6.0,0.359255458,17.9627729
0.1,7.0,0.5,8.0,0.445179905,22.258995249999998
0.1,7.0,0.5,10.0,0.530338852,26.5169426
0.1,7.0,0.7,0.1,0.073835819,5.16850733
0.1,7.0,0.7,0.5,0.086523764,6.05666348
0.1,7.0,0.7,1.0,0.102152653,7.1506857099999985
0.1,7.0,0.7,4.0,0.195733962,13.70137734
0.1,7.0,0.7,6.0,0.257987065,18.059094549999998
