ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,QA_content_initial
0.1,4.69,0.18888889,2.3,6.7
0.1,4.69,0.18888889,3.4,6.7
0.1,4.69,0.18888889,4.5,6.7
0.1,4.69,0.18888889,5.6,6.7
0.1,4.69,0.18888889,6.7,6.7
0.1,4.69,0.18888889,7.8,6.7
0.1,4.69,0.18888889,8.9,6.7
0.1,4.69,0.18888889,10.0,6.7
0.1,4.69,0.27777778,0.1,6.7
0.1,4.69,0.27777778,1.2,6.7
0.1,4.69,0.27777778,2.3,6.7
0.1,4.69,0.27777778,3.4,6.7
0.1,4.69,0.27777778,4.5,6.7
0.1,4.69,0.27777778,5.6,6.7
0.1,4.69,0.27777778,6.7,6.7
0.1,4.69,0.27777778,7.8,6.7
0.1,4.69,0.27777778,8.9,6.7
0.1,4.69,0.27777778,10.0,6.7
0.1,4.69,0.36666667,0.1,6.7
0.1,4.69,0.36666667,1.2,6.7
0.1,4.69,0.36666667,2.3,6.7
