P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Result
8.9,0.1,0.25,0.2778,0.20349846,5.653187218799999
10.0,0.1,0.25,0.2778,0.20349846,5.653187218799999
0.1,0.1,0.25,0.3667,0.154490816,5.665178222720001
1.2,0.1,0.25,0.3667,0.154490816,5.665178222720001
2.3,0.1,0.25,0.3667,0.154490816,5.665178222720001
3.4,0.1,0.25,0.3667,0.154490816,5.665178222720001
4.5,0.1,0.25,0.3667,0.154490816,5.665178222720001
5.6,0.1,0.25,0.3667,0.154490816,5.665178222720001
6.7,0.1,0.25,0.3667,0.154490816,5.665178222720001
7.8,0.1,0.25,0.3667,0.154490816,5.665178222720001
8.9,0.1,0.25,0.3667,0.154490816,5.665178222720001
10.0,0.1,0.25,0.3667,0.154490816,5.665178222720001
0.1,0.1,0.25,0.4556,0.124492316,5.67186991696
1.2,0.1,0.25,0.4556,0.124492316,5.67186991696
2.3,0.1,0.25,0.4556,0.124492316,5.67186991696
3.4,0.1,0.25,0.4556,0.124492316,5.67186991696
4.5,0.1,0.25,0.4556,0.124492316,5.67186991696
5.6,0.1,0.25,0.4556,0.124492316,5.67186991696
6.7,0.1,0.25,0.4556,0.124492316,5.67186991696
7.8,0.1,0.25,0.4556,0.124492316,5.67186991696
8.9,0.1,0.25,0.4556,0.124492316,5.67186991696
10.0,0.1,0.25,0.4556,0.124492316,5.67186991696
0.1,0.1,0.25,0.5444,0.10426593,5.676237229200001
1.2,0.1,0.25,0.5444,0.10426593,5.676237229200001
2.3,0.1,0.25,0.5444,0.10426593,5.676237229200001
3.4,0.1,0.25,0.5444,0.10426593,5.676237229200001
4.5,0.1,0.25,0.5444,0.10426593,5.676237229200001
5.6,0.1,0.25,0.5444,0.10426593,5.676237229200001
6.7,0.1,0.25,0.5444,0.10426593,5.676237229200001
7.8,0.1,0.25,0.5444,0.10426593,5.676237229200001
8.9,0.1,0.25,0.5444,0.10426593,5.676237229200001
10.0,0.1,0.25,0.5444,0.10426593,5.676237229200001
0.1,0.1,0.25,0.6333,0.08967444,5.6790822852
1.2,0.1,0.25,0.6333,0.08967444,5.6790822852
2.3,0.1,0.25,0.6333,0.08967444,5.6790822852
3.4,0.1,0.25,0.6333,0.08967444,5.6790822852
4.5,0.1,0.25,0.6333,0.08967444,5.6790822852
5.6,0.1,0.25,0.6333,0.08967444,5.6790822852
6.7,0.1,0.25,0.6333,0.08967444,5.6790822852
