Phi2,P700_red_initial,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.742150502,0.7,0.1,5,0.5,0.7,37.10752512
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.570380075,0.7,0.1,5,0.7,0.7,39.92660524
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.452705413,0.7,0.1,5,0.9,0.7,40.74348713
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.829883908,0.7,0.1,7,0.1,0.7,8.298839081
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.825351393,0.7,0.1,7,0.3,0.7,24.76054178
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.746407305,0.7,0.1,7,0.5,0.7,37.32036527
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.578156602,0.7,0.1,7,0.7,0.7,40.47096212
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.460079785,0.7,0.1,7,0.9,0.7,41.40718064
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.64515967,0.7,0.3,0.07,0.1,0.7,6.451596696
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.488474663,0.7,0.3,0.07,0.3,0.7,14.65423989
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.324297271,0.7,0.3,0.07,0.5,0.7,16.21486353
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.236272814,0.7,0.3,0.07,0.7,0.7,16.53909698
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.184554231,0.7,0.3,0.07,0.9,0.7,16.60988082
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.668466435,0.7,0.3,0.1,0.1,0.7,6.684664347
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.581147276,0.7,0.3,0.1,0.3,0.7,17.43441829
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.418695795,0.7,0.3,0.1,0.5,0.7,20.93478975
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
0.30940009,0.7,0.3,0.1,0.7,0.7,21.65800631
