Phi2,ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,Result
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.411181239,0.1,1.0,0.9,0.7,37.00631151
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.773295883,0.1,3.0,0.1,0.7,7.73295883
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.768705575,0.1,3.0,0.3,0.7,23.06116725
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.70104242,0.1,3.0,0.5,0.7,35.052121
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.534916127,0.1,3.0,0.7,0.7,37.44412889
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.423185011,0.1,3.0,0.9,0.7,38.086650989999995
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.773451732,0.1,5.0,0.1,0.7,7.73451732
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.768966708,0.1,5.0,0.3,0.7,23.06900124
0.70454624,0.1,5.0,0.5,0.7,35.227312
