ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.81111111,2.38,0.9,4.6899999999999995,22.35806175
0.9,3.15,0.9,5.46,22.35347875
0.72222222,1.61,0.9,7.0,22.33162054
0.9,1.61,0.45555556,7.0,22.19268718
0.72222222,1.61,0.54444444,7.0,22.18326238
0.81111111,1.61,0.45555556,7.0,22.17906704
0.81111111,1.61,0.54444444,7.0,22.1698104
0.63333333,1.61,0.63333333,7.0,22.16942709
0.9,1.61,0.45555556,6.2299999999999995,22.1584599
0.72222222,1.61,0.63333333,7.0,22.14932337
0.9,2.38,0.63333333,7.0,22.14854434
0.81111111,2.38,0.72222222,7.0,22.14328646
0.72222222,1.61,0.54444444,6.2299999999999995,22.13938347
0.54444444,1.61,0.72222222,7.0,22.13139385
0.63333333,1.61,0.63333333,6.2299999999999995,22.13056493
0.81111111,1.61,0.54444444,6.2299999999999995,22.11829715
0.9,1.61,0.72222222,4.6899999999999995,22.11804361
0.9,1.61,0.81111111,7.0,22.11565293
0.81111111,1.61,0.45555556,6.2299999999999995,22.11266177
0.9,1.61,0.45555556,5.46,22.11006893
0.63333333,1.61,0.72222222,7.0,22.10305506
0.72222222,1.61,0.54444444,5.46,22.10060396
0.9,2.38,0.63333333,6.2299999999999995,22.10018638
0.54444444,1.61,0.72222222,6.2299999999999995,22.09780602
0.81111111,2.38,0.63333333,7.0,22.08989624
0.81111111,2.38,0.72222222,6.2299999999999995,22.08548448
0.63333333,1.61,0.54444444,7.0,22.08473039
0.72222222,1.61,0.63333333,6.2299999999999995,22.0835827
0.54444444,1.61,0.81111111,7.0,22.08282183
0.81111111,1.61,0.45555556,5.46,22.07959151
0.63333333,1.61,0.63333333,5.46,22.07632742
0.54444444,1.61,0.63333333,7.0,22.07411495
0.9,1.61,0.81111111,6.2299999999999995,22.07343924
0.72222222,2.38,0.72222222,7.0,22.0733653
0.81111111,1.61,0.54444444,5.46,22.07259186
0.72222222,2.38,0.81111111,7.0,22.06885068
0.9,2.38,0.63333333,5.46,22.06874445
0.63333333,1.61,0.72222222,6.2299999999999995,22.06433058
0.72222222,1.61,0.54444444,4.6899999999999995,22.05633509
0.54444444,1.61,0.72222222,5.46,22.05429864
0.9,3.15,0.81111111,7.0,22.05358587
0.81111111,2.38,0.72222222,5.46,22.05166253
0.9,1.61,0.45555556,4.6899999999999995,22.05021499
0.9,1.61,0.36666667,7.0,22.04995844
0.81111111,2.38,0.63333333,6.2299999999999995,22.04680784
0.54444444,1.61,0.81111111,6.2299999999999995,22.04596013
0.72222222,1.61,0.63333333,5.46,22.04413226
0.72222222,1.61,0.45555556,7.0,22.04387745
0.9,2.38,0.54444444,7.0,22.04061688
0.63333333,1.61,0.54444444,6.2299999999999995,22.04036974
0.9,2.38,0.9,6.2299999999999995,22.04002238
0.54444444,1.61,0.9,4.6899999999999995,22.03648356
0.63333333,1.61,0.63333333,4.6899999999999995,22.03618378
0.72222222,2.38,0.81111111,6.2299999999999995,22.03403194
0.81111111,1.61,0.54444444,4.6899999999999995,22.03294332
0.9,2.38,0.72222222,7.0,22.03253064
0.81111111,1.61,0.45555556,4.6899999999999995,22.03219268
0.9,1.61,0.81111111,5.46,22.03103278
0.81111111,1.61,0.9,7.0,22.03003849
0.9,2.38,0.63333333,4.6899999999999995,22.02685282
0.72222222,2.38,0.72222222,6.2299999999999995,22.02641897
0.9,1.61,0.45555556,3.9199999999999995,22.01833112
0.63333333,1.61,0.72222222,5.46,22.0148348
0.9,1.61,0.36666667,6.2299999999999995,22.00739152
0.72222222,1.61,0.54444444,3.9199999999999995,22.00699521
0.72222222,2.38,0.81111111,5.46,22.00481595
0.63333333,1.61,0.54444444,5.46,22.00446633
0.9,3.15,0.81111111,6.2299999999999995,22.00387657
0.81111111,2.38,0.63333333,5.46,22.00278955
0.63333333,2.38,0.81111111,7.0,22.0021175
0.81111111,2.38,0.72222222,4.6899999999999995,22.00155916
0.9,2.38,0.54444444,6.2299999999999995,21.99940988
0.9,1.61,0.54444444,7.0,21.9993454
0.72222222,1.61,0.45555556,6.2299999999999995,21.99725731
0.9,3.15,0.72222222,7.0,21.99641227
0.72222222,1.61,0.63333333,4.6899999999999995,21.9920982
0.63333333,1.61,0.63333333,3.9199999999999995,21.99154508
0.72222222,2.38,0.72222222,5.46,21.9885777
0.9,2.38,0.63333333,3.9199999999999995,21.9861729
0.9,2.38,0.72222222,6.2299999999999995,21.98598205
0.9,1.61,0.81111111,4.6899999999999995,21.98549771
0.81111111,1.61,0.9,6.2299999999999995,21.98293617
0.81111111,1.61,0.45555556,3.9199999999999995,21.9808599
0.81111111,1.61,0.54444444,3.9199999999999995,21.978598
0.63333333,1.61,0.72222222,4.6899999999999995,21.97791445
0.81111111,2.38,0.63333333,4.6899999999999995,21.97361156
0.9,1.61,0.45555556,3.15,21.97344112
0.9,3.15,0.81111111,5.46,21.97090827
0.9,1.61,0.36666667,5.46,21.9693693
0.9,1.61,0.54444444,6.2299999999999995,21.96626948
0.63333333,1.61,0.54444444,4.6899999999999995,21.9644865
0.63333333,2.38,0.81111111,6.2299999999999995,21.9613243
0.9,2.38,0.54444444,5.46,21.96018071
0.81111111,3.15,0.81111111,7.0,21.95947795
0.72222222,1.61,0.54444444,3.15,21.95821828
0.81111111,2.38,0.72222222,3.9199999999999995,21.95821743
0.72222222,1.61,0.45555556,5.46,21.95769187
