ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,idx,CO2
0.3,0.07,0.5,0.1,224,0.321329554
0.3,0.07,0.5,0.5,225,0.783069274
0.3,0.07,0.5,1,226,0.804160492
0.3,0.07,0.5,4,227,0.808600361
0.3,0.07,0.5,6,228,0.809994735
0.3,0.07,0.5,8,229,0.811160535
0.3,0.07,0.5,10,230,0.811902495
0.3,0.07,0.7,0.1,231,0.207835163
0.3,0.07,0.7,0.5,232,0.672000945
0.3,0.07,0.7,1,233,0.812041566
0.3,0.07,0.7,4,234,0.820849874
0.3,0.07,0.7,6,235,0.822109722
0.3,0.07,0.7,8,236,0.823329234
0.3,0.07,0.7,10,237,0.824395273
0.3,0.07,0.9,0.1,238,0.073934782
0.3,0.07,0.9,0.5,239,0.32718706
0.3,0.07,0.9,1,240,0.542779569
0.3,0.07,0.9,4,241,0.825757295
0.3,0.07,0.9,6,242,0.827431672
0.3,0.07,0.9,8,243,0.828668597
0.3,0.07,0.9,10,244,0.830217134
0.3,0.1,0.1,0.1,245,0.503972877
0.3,0.1,0.1,0.5,246,0.494701706
0.3,0.1,0.1,1,247,0.494210682
0.3,0.1,0.1,4,248,0.495021604
0.3,0.1,0.1,6,249,0.495745112
0.3,0.1,0.1,8,250,0.496483781
0.3,0.1,0.1,10,251,0.497226336
0.3,0.1,0.3,0.1,252,0.46480932
0.3,0.1,0.3,0.5,253,1.063781802
0.3,0.1,0.3,1,254,1.076828535
0.3,0.1,0.3,4,255,1.080571599
0.3,0.1,0.3,6,256,1.082248625
0.3,0.1,0.3,8,257,1.083925303
0.3,0.1,0.3,10,258,1.085561458
0.3,0.1,0.5,0.1,259,0.348578696
0.3,0.1,0.5,0.5,260,1.069034535
0.3,0.1,0.5,1,261,1.201091989
0.3,0.1,0.5,4,262,1.209946373
0.3,0.1,0.5,6,263,1.211858141
0.3,0.1,0.5,8,264,1.213786853
0.3,0.1,0.5,10,265,1.215564806
0.3,0.1,0.7,0.1,266,0.217816961
0.3,0.1,0.7,0.5,267,0.837237907
0.3,0.1,0.7,1,268,1.171025095
0.3,0.1,0.7,4,269,1.247118269
0.3,0.1,0.7,6,270,1.24930628
0.3,0.1,0.7,8,271,1.251157835
0.3,0.1,0.7,10,272,1.253735574
0.3,0.1,0.9,0.1,273,0.075434288
0.3,0.1,0.9,0.5,274,0.353053397
0.3,0.1,0.9,1,275,0.635699671
0.3,0.1,0.9,4,276,1.259577736
0.3,0.1,0.9,6,277,1.264986538
0.3,0.1,0.9,8,278,1.266947966
0.3,0.1,0.9,10,279,1.268812694
0.3,1,0.1,0.1,280,0.588110811
0.3,1,0.1,0.5,281,0.612213967
0.3,1,0.1,1,282,0.612199735
0.3,1,0.1,4,283,0.612367286
0.3,1,0.1,6,284,0.612567615
0.3,1,0.1,8,285,0.612767163
0.3,1,0.1,10,286,0.612965295
0.3,1,0.3,0.1,287,0.440888453
0.3,1,0.3,0.5,288,1.826845495
0.3,1,0.3,1,289,1.767431837
0.3,1,0.3,4,290,1.71766985
0.3,1,0.3,6,291,1.719163071
0.3,1,0.3,8,292,1.720927253
0.3,1,0.3,10,293,1.722775329
0.3,1,0.5,0.1,294,0.315203348
0.3,1,0.5,0.5,295,1.576148441
0.3,1,0.5,1,296,2.981688765
0.3,1,0.5,4,297,2.711230594
0.3,1,0.5,6,298,2.713598978
0.3,1,0.5,8,299,2.716729283
0.3,1,0.5,10,300,2.720048479
0.3,1,0.7,0.1,301,0.189507254
0.3,1,0.7,0.5,302,0.945074055
0.3,1,0.7,1,303,1.889225132
0.3,1,0.7,4,304,3.891337768
0.3,1,0.7,6,305,3.659240503
0.3,1,0.7,8,306,3.65391642
0.3,1,0.7,10,307,3.658424285
0.3,1,0.9,0.1,308,0.063688581
0.3,1,0.9,0.5,309,0.315558254
0.3,1,0.9,1,310,0.630527396
0.3,1,0.9,4,311,2.518023777
0.3,1,0.9,6,312,3.797343493
0.3,1,0.9,8,313,5.082313626
0.3,1,0.9,10,314,5.068046023
0.3,3,0.1,0.1,315,0.199180013
0.3,3,0.1,0.5,316,0.62108019
0.3,3,0.1,1,317,0.621085337
0.3,3,0.1,4,318,0.621132475
0.3,3,0.1,6,319,0.621162758
0.3,3,0.1,8,320,0.621192071
0.3,3,0.1,10,321,0.621220529
0.3,3,0.3,0.1,322,0.147702203
0.3,3,0.3,0.5,323,0.811432532
0.3,3,0.3,1,324,1.790742571
0.3,3,0.3,4,325,1.837357315
0.3,3,0.3,6,326,1.837905608
0.3,3,0.3,8,327,1.838466828
0.3,3,0.3,10,328,1.839048374
0.3,3,0.5,0.1,329,0.105674457
0.3,3,0.5,0.5,330,0.527240973
0.3,3,0.5,1,331,1.123073363
0.3,3,0.5,4,332,2.996731268
0.3,3,0.5,6,333,2.998318054
0.3,3,0.5,8,334,3.000094035
0.3,3,0.5,10,335,3.001935728
0.3,3,0.7,0.1,336,0.063693285
0.3,3,0.7,0.5,337,0.31570579
0.3,3,0.7,1,338,0.631761364
0.3,3,0.7,4,339,2.968422302
0.3,3,0.7,6,340,4.171081871
0.3,3,0.7,8,341,4.10007308
0.3,3,0.7,10,342,4.10296204
0.3,3,0.9,0.1,343,0.021626772
0.3,3,0.9,0.5,344,0.105702117
0.3,3,0.9,1,345,0.210680207
0.3,3,0.9,4,346,0.842343536
0.3,3,0.9,6,347,1.272512876
0.3,3,0.9,8,348,1.753939761
0.3,3,0.9,10,349,2.297564512
0.3,5,0.1,0.1,350,0.121095336
0.3,5,0.1,0.5,351,0.545508091
0.3,5,0.1,1,352,0.545533005
0.3,5,0.1,4,353,0.545680487
0.3,5,0.1,6,354,0.545776492
0.3,5,0.1,8,355,0.545866357
0.3,5,0.1,10,356,0.54595822
0.3,5,0.3,0.1,357,0.0890116
0.3,5,0.3,0.5,358,0.489044363
0.3,5,0.3,1,359,1.074549929
0.3,5,0.3,4,360,1.629478416
0.3,5,0.3,6,361,1.630002474
0.3,5,0.3,8,362,1.630543515
0.3,5,0.3,10,363,1.631064588
0.3,5,0.5,0.1,364,0.06371432
0.3,5,0.5,0.5,365,0.317672252
0.3,5,0.5,1,366,0.677792818
0.3,5,0.5,4,367,2.683549987
0.3,5,0.5,6,368,2.685194654
0.3,5,0.5,8,369,2.686766574
