ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.1,1.61,0.27777778,10,2.689199119
0.1,1.61,0.36666667,0.1,0.412851476
0.1,1.61,0.36666667,1.2,3.568127164
0.1,1.61,0.36666667,2.3,3.451415082
0.1,1.61,0.36666667,3.4,3.451750238
0.1,1.61,0.36666667,4.5,3.453100557
0.1,1.61,0.36666667,5.6,3.454941269
0.1,1.61,0.36666667,6.7,3.456987764
0.1,1.61,0.36666667,7.8,3.459138571
0.1,1.61,0.36666667,8.9,3.461348311
0.1,1.61,0.36666667,10,3.463597243
0.1,1.61,0.45555556,0.1,0.355055753
0.1,1.61,0.45555556,1.2,4.495010563
0.1,1.61,0.45555556,2.3,4.201840066
0.1,1.61,0.45555556,3.4,4.198532312
0.1,1.61,0.45555556,4.5,4.1995425
0.1,1.61,0.45555556,5.6,4.20160828
0.1,1.61,0.45555556,6.7,4.204143042
0.1,1.61,0.45555556,7.8,4.20689757
0.1,1.61,0.45555556,8.9,4.209770178
0.1,1.61,0.45555556,10,4.212707247
0.1,1.61,0.54444444,0.1,0.297261865
0.1,1.61,0.54444444,1.2,3.806253474
0.1,1.61,0.54444444,2.3,5.11813824
0.1,1.61,0.54444444,3.4,4.929004101
0.1,1.61,0.54444444,4.5,4.92893056
0.1,1.61,0.54444444,5.6,4.930752918
0.1,1.61,0.54444444,6.7,4.932942769
0.1,1.61,0.54444444,7.8,4.936039058
0.1,1.61,0.54444444,8.9,4.939431376
0.1,1.61,0.54444444,10,4.942972143
0.1,1.61,0.63333333,0.1,0.239455186
0.1,1.61,0.63333333,1.2,2.886062481
0.1,1.61,0.63333333,2.3,6.112075
0.1,1.61,0.63333333,3.4,5.815910221
0.1,1.61,0.63333333,4.5,5.646477342
0.1,1.61,0.63333333,5.6,5.646411563
0.1,1.61,0.63333333,6.7,5.648800916
0.1,1.61,0.63333333,7.8,5.652096687
0.1,1.61,0.63333333,8.9,5.65581034
0.1,1.61,0.63333333,10,5.658555183
0.1,1.61,0.72222222,0.1,0.181629585
0.1,1.61,0.72222222,1.2,2.173575442
0.1,1.61,0.72222222,2.3,4.330201179
0.1,1.61,0.72222222,3.4,6.887175133
0.1,1.61,0.72222222,4.5,6.636611879
0.1,1.61,0.72222222,5.6,6.409418174
0.1,1.61,0.72222222,6.7,6.353293374
0.1,1.61,0.72222222,7.8,6.355440549
0.1,1.61,0.72222222,8.9,6.358842153
0.1,1.61,0.72222222,10,6.362920433
0.1,1.61,0.81111111,0.1,0.123779704
0.1,1.61,0.81111111,1.2,1.477850222
0.1,1.61,0.81111111,2.3,2.834402981
0.1,1.61,0.81111111,3.4,4.266781841
0.1,1.61,0.81111111,4.5,6.003036643
0.1,1.61,0.81111111,5.6,7.632732165
0.1,1.61,0.81111111,6.7,7.446574915
0.1,1.61,0.81111111,7.8,7.268564781
0.1,1.61,0.81111111,8.9,7.107415993
0.1,1.61,0.81111111,10,7.053830708
0.1,1.61,0.9,0.1,0.065886413
0.1,1.61,0.9,1.2,0.782863439
0.1,1.61,0.9,2.3,1.499827987
0.1,1.61,0.9,3.4,2.216553086
0.1,1.61,0.9,4.5,2.934527417
0.1,1.61,0.9,5.6,3.660181551
0.1,1.61,0.9,6.7,4.420068946
0.1,1.61,0.9,7.8,5.274973546
0.1,1.61,0.9,8.9,6.208879385
0.1,1.61,0.9,10,7.167857292
0.1,2.38,0.1,0.1,0.414900217
0.1,2.38,0.1,1.2,1.028722435
0.1,2.38,0.1,2.3,1.028818248
0.1,2.38,0.1,3.4,1.028921976
0.1,2.38,0.1,4.5,1.029023525
0.1,2.38,0.1,5.6,1.029122929
0.1,2.38,0.1,6.7,1.029220895
0.1,2.38,0.1,7.8,1.029317984
0.1,2.38,0.1,8.9,1.029414203
0.1,2.38,0.1,10,1.029510458
0.1,2.38,0.18888889,0.1,0.358494097
0.1,2.38,0.18888889,1.2,1.911493496
0.1,2.38,0.18888889,2.3,1.91179751
0.1,2.38,0.18888889,3.4,1.912159133
0.1,2.38,0.18888889,4.5,1.912586282
0.1,2.38,0.18888889,5.6,1.913061146
0.1,2.38,0.18888889,6.7,1.913561687
0.1,2.38,0.18888889,7.8,1.914062238
0.1,2.38,0.18888889,8.9,1.914560621
0.1,2.38,0.18888889,10,1.915054368
0.1,2.38,0.27777778,0.1,0.318904377
0.1,2.38,0.27777778,1.2,2.759602019
0.1,2.38,0.27777778,2.3,2.757737328
0.1,2.38,0.27777778,3.4,2.75843872
0.1,2.38,0.27777778,4.5,2.759282157
0.1,2.38,0.27777778,5.6,2.760259078
0.1,2.38,0.27777778,6.7,2.761310894
0.1,2.38,0.27777778,7.8,2.762405154
0.1,2.38,0.27777778,8.9,2.76352846
0.1,2.38,0.27777778,10,2.764670786
0.1,2.38,0.36666667,0.1,0.279697056
0.1,2.38,0.36666667,1.2,3.672864462
0.1,2.38,0.36666667,2.3,3.570668888
0.1,2.38,0.36666667,3.4,3.571637612
0.1,2.38,0.36666667,4.5,3.57285115
0.1,2.38,0.36666667,5.6,3.574325677
0.1,2.38,0.36666667,6.7,3.575981558
0.1,2.38,0.36666667,7.8,3.577738056
0.1,2.38,0.36666667,8.9,3.579549958
0.1,2.38,0.36666667,10,3.58139387
0.1,2.38,0.45555556,0.1,0.240551354
0.1,2.38,0.45555556,1.2,3.302663899
0.1,2.38,0.45555556,2.3,4.381202045
0.1,2.38,0.45555556,3.4,4.358062988
0.1,2.38,0.45555556,4.5,4.359556072
0.1,2.38,0.45555556,5.6,4.361381995
0.1,2.38,0.45555556,6.7,4.363546545
0.1,2.38,0.45555556,7.8,4.3659268
0.1,2.38,0.45555556,8.9,4.368427925
0.1,2.38,0.45555556,10,4.371000761
0.1,2.38,0.54444444,0.1,0.201419043
0.1,2.38,0.54444444,1.2,2.575849068
0.1,2.38,0.54444444,2.3,5.332672937
0.1,2.38,0.54444444,3.4,5.126322689
0.1,2.38,0.54444444,4.5,5.124902806
0.1,2.38,0.54444444,5.6,5.126950114
0.1,2.38,0.54444444,6.7,5.129387714
0.1,2.38,0.54444444,7.8,5.132221976
0.1,2.38,0.54444444,8.9,5.135304866
0.1,2.38,0.54444444,10,5.138541615
0.1,2.38,0.63333333,0.1,0.162285878
0.1,2.38,0.63333333,1.2,1.957374273
0.1,2.38,0.63333333,2.3,4.216722574
0.1,2.38,0.63333333,3.4,6.101592051
0.1,2.38,0.63333333,4.5,5.896479658
0.1,2.38,0.63333333,5.6,5.875047222
0.1,2.38,0.63333333,6.7,5.877550488
0.1,2.38,0.63333333,7.8,5.880513744
0.1,2.38,0.63333333,8.9,5.883887123
0.1,2.38,0.63333333,10,5.887589107
0.1,2.38,0.72222222,0.1,0.123144589
0.1,2.38,0.72222222,1.2,1.472208282
0.1,2.38,0.72222222,2.3,2.930728469
0.1,2.38,0.72222222,3.4,4.711542941
0.1,2.38,0.72222222,4.5,6.528037619
0.1,2.38,0.72222222,5.6,6.778827753
0.1,2.38,0.72222222,6.7,6.620067113
0.1,2.38,0.72222222,7.8,6.613103464
0.1,2.38,0.72222222,8.9,6.616362537
0.1,2.38,0.72222222,10,6.620077892
0.1,2.38,0.81111111,0.1,0.083986841
0.1,2.38,0.81111111,1.2,1.000418589
0.1,2.38,0.81111111,2.3,1.920422479
0.1,2.38,0.81111111,3.4,2.890363196
0.1,2.38,0.81111111,4.5,4.053307953
0.1,2.38,0.81111111,5.6,5.280098
0.1,2.38,0.81111111,6.7,6.51626932
0.1,2.38,0.81111111,7.8,7.673937461
0.1,2.38,0.81111111,8.9,7.538464051
0.1,2.38,0.81111111,10,7.411024027
0.1,2.38,0.9,0.1,0.044788877
0.1,2.38,0.9,1.2,0.529849151
0.1,2.38,0.9,2.3,1.015196429
0.1,2.38,0.9,3.4,1.500902961
0.1,2.38,0.9,4.5,1.988042427
0.1,2.38,0.9,5.6,2.480753426
0.1,2.38,0.9,6.7,2.994285397
0.1,2.38,0.9,7.8,3.566851955
0.1,2.38,0.9,8.9,4.191684311
0.1,2.38,0.9,10,4.835927315
0.1,3.15,0.1,0.1,0.315037546
0.1,3.15,0.1,1.2,1.032183476
0.1,3.15,0.1,2.3,1.032250098
0.1,3.15,0.1,3.4,1.03231574
0.1,3.15,0.1,4.5,1.032379959
0.1,3.15,0.1,5.6,1.032442733
0.1,3.15,0.1,6.7,1.032504165
0.1,3.15,0.1,7.8,1.03256446
0.1,3.15,0.1,8.9,1.032623821
0.1,3.15,0.1,10,1.032682601
0.1,3.15,0.18888889,0.1,0.271341426
0.1,3.15,0.18888889,1.2,1.929110449
0.1,3.15,0.18888889,2.3,1.929368847
0.1,3.15,0.18888889,3.4,1.929656451
0.1,3.15,0.18888889,4.5,1.929962735
0.1,3.15,0.18888889,5.6,1.930294072
0.1,3.15,0.18888889,6.7,1.930632518
0.1,3.15,0.18888889,7.8,1.930968514
0.1,3.15,0.18888889,8.9,1.931303074
0.1,3.15,0.18888889,10,1.931634017
0.1,3.15,0.27777778,0.1,0.241261051
0.1,3.15,0.27777778,1.2,2.802889418
0.1,3.15,0.27777778,2.3,2.799025727
0.1,3.15,0.27777778,3.4,2.799682929
0.1,3.15,0.27777778,4.5,2.800372946
0.1,3.15,0.27777778,5.6,2.801107991
0.1,3.15,0.27777778,6.7,2.801887255
0.1,3.15,0.27777778,7.8,2.802697109
0.1,3.15,0.27777778,8.9,2.803528238
0.1,3.15,0.27777778,10,2.804369734
0.1,3.15,0.36666667,0.1,0.211592501
0.1,3.15,0.36666667,1.2,3.050794205
0.1,3.15,0.36666667,2.3,3.640631909
0.1,3.15,0.36666667,3.4,3.6417028
0.1,3.15,0.36666667,4.5,3.642882115
0.1,3.15,0.36666667,5.6,3.644122204
0.1,3.15,0.36666667,6.7,3.645445711
0.1,3.15,0.36666667,7.8,3.646837949
0.1,3.15,0.36666667,8.9,3.648276419
0.1,3.15,0.36666667,10,3.649740409
0.1,3.15,0.45555556,0.1,0.18199129
0.1,3.15,0.45555556,1.2,2.495096604
0.1,3.15,0.45555556,2.3,4.493582516
0.1,3.15,0.45555556,3.4,4.458273897
0.1,3.15,0.45555556,4.5,4.459959674
0.1,3.15,0.45555556,5.6,4.461746927
0.1,3.15,0.45555556,6.7,4.463630154
0.1,3.15,0.45555556,7.8,4.465629137
0.1,3.15,0.45555556,8.9,4.46772274
0.1,3.15,0.45555556,10,4.469880166
0.1,3.15,0.54444444,0.1,0.152407104
0.1,3.15,0.54444444,1.2,1.948894517
0.1,3.15,0.54444444,2.3,4.177458296
0.1,3.15,0.54444444,3.4,5.271672504
0.1,3.15,0.54444444,4.5,5.254836193
0.1,3.15,0.54444444,5.6,5.257152804
0.1,3.15,0.54444444,6.7,5.259607731
0.1,3.15,0.54444444,7.8,5.262170384
0.1,3.15,0.54444444,8.9,5.264874483
0.1,3.15,0.54444444,10,5.267695025
0.1,3.15,0.63333333,0.1,0.122825246
0.1,3.15,0.63333333,1.2,1.482523416
0.1,3.15,0.63333333,2.3,3.184059533
0.1,3.15,0.63333333,3.4,4.989143283
0.1,3.15,0.63333333,4.5,6.092909067
0.1,3.15,0.63333333,5.6,6.03310739
0.1,3.15,0.63333333,6.7,6.035881485
0.1,3.15,0.63333333,7.8,6.039033269
0.1,3.15,0.63333333,8.9,6.042292576
0.1,3.15,0.63333333,10,6.045676603
0.1,3.15,0.72222222,0.1,0.09323778
0.1,3.15,0.72222222,1.2,1.113383164
0.1,3.15,0.72222222,2.3,2.218493134
0.1,3.15,0.72222222,3.4,3.556679578
0.1,3.15,0.72222222,4.5,4.92463546
0.1,3.15,0.72222222,5.6,6.296760182
0.1,3.15,0.72222222,6.7,6.856099789
0.1,3.15,0.72222222,7.8,6.797408644
0.1,3.15,0.72222222,8.9,6.800700596
0.1,3.15,0.72222222,10,6.804621992
0.1,3.15,0.81111111,0.1,0.063635146
0.1,3.15,0.81111111,1.2,0.756247623
0.1,3.15,0.81111111,2.3,1.452793112
0.1,3.15,0.81111111,3.4,2.18923133
0.1,3.15,0.81111111,4.5,3.062321347
0.1,3.15,0.81111111,5.6,3.984553213
0.1,3.15,0.81111111,6.7,4.915095515
0.1,3.15,0.81111111,7.8,5.848410689
0.1,3.15,0.81111111,8.9,6.782722465
0.1,3.15,0.81111111,10,7.689490222
0.1,3.15,0.9,0.1,0.033992063
0.1,3.15,0.9,1.2,0.400526907
0.1,3.15,0.9,2.3,0.767365263
0.1,3.15,0.9,3.4,1.134756174
0.1,3.15,0.9,4.5,1.503690096
0.1,3.15,0.9,5.6,1.877600513
0.1,3.15,0.9,6.7,2.26681482
0.1,3.15,0.9,7.8,2.698820814
0.1,3.15,0.9,8.9,3.167216073
0.1,3.15,0.9,10,3.650838512
0.1,3.92,0.1,0.1,0.254322107
0.1,3.92,0.1,1.2,1.03392216
0.1,3.92,0.1,2.3,1.033968055
0.1,3.92,0.1,3.4,1.034012978
0.1,3.92,0.1,4.5,1.034056923
0.1,3.92,0.1,5.6,1.034100014
0.1,3.92,0.1,6.7,1.03414227
0.1,3.92,0.1,7.8,1.03418369
0.1,3.92,0.1,8.9,1.034224389
0.1,3.92,0.1,10,1.034264466
0.1,3.92,0.18888889,0.1,0.218441016
0.1,3.92,0.18888889,1.2,1.938643636
0.1,3.92,0.18888889,2.3,1.938847428
0.1,3.92,0.18888889,3.4,1.939073158
0.1,3.92,0.18888889,4.5,1.93930959
0.1,3.92,0.18888889,5.6,1.939553521
0.1,3.92,0.18888889,6.7,1.93979481
0.1,3.92,0.18888889,7.8,1.94003324
0.1,3.92,0.18888889,8.9,1.940269122
0.1,3.92,0.18888889,10,1.940503167
0.1,3.92,0.27777778,0.1,0.194108072
0.1,3.92,0.27777778,1.2,2.827215078
0.1,3.92,0.27777778,2.3,2.823086946
0.1,3.92,0.27777778,3.4,2.823638894
0.1,3.92,0.27777778,4.5,2.824207012
0.1,3.92,0.27777778,5.6,2.824785245
0.1,3.92,0.27777778,6.7,2.825380776
0.1,3.92,0.27777778,7.8,2.825994703
0.1,3.92,0.27777778,8.9,2.826623057
0.1,3.92,0.27777778,10,2.827255068
0.1,3.92,0.36666667,0.1,0.170229228
0.1,3.92,0.36666667,1.2,2.451023562
0.1,3.92,0.36666667,2.3,3.684302125
0.1,3.92,0.36666667,3.4,3.685272384
0.1,3.92,0.36666667,4.5,3.686319759
0.1,3.92,0.36666667,5.6,3.687384632
0.1,3.92,0.36666667,6.7,3.688468874
0.1,3.92,0.36666667,7.8,3.689582629
0.1,3.92,0.36666667,8.9,3.690723214
0.1,3.92,0.36666667,10,3.691883554
0.1,3.92,0.45555556,0.1,0.146424819
0.1,3.92,0.45555556,1.2,2.005496058
0.1,3.92,0.45555556,2.3,4.153402558
0.1,3.92,0.45555556,3.4,4.52426227
0.1,3.92,0.45555556,4.5,4.525851134
0.1,3.92,0.45555556,5.6,4.527507847
0.1,3.92,0.45555556,6.7,4.529187441
0.1,3.92,0.45555556,7.8,4.530896412
0.1,3.92,0.45555556,8.9,4.532645682
0.1,3.92,0.45555556,10,4.534433749
0.1,3.92,0.54444444,0.1,0.122639813
0.1,3.92,0.54444444,1.2,1.568735543
0.1,3.92,0.54444444,2.3,3.354982003
0.1,3.92,0.54444444,3.4,5.155113079
0.1,3.92,0.54444444,4.5,5.344206421
0.1,3.92,0.54444444,5.6,5.346457699
0.1,3.92,0.54444444,6.7,5.348807337
0.1,3.92,0.54444444,7.8,5.351188669
0.1,3.92,0.54444444,8.9,5.353601293
0.1,3.92,0.54444444,10,5.356058507
0.1,3.92,0.63333333,0.1,0.098858396
0.1,3.92,0.63333333,1.2,1.19425924
0.1,3.92,0.63333333,2.3,2.558667896
0.1,3.92,0.63333333,3.4,4.005817427
0.1,3.92,0.63333333,4.5,5.457701306
0.1,3.92,0.63333333,5.6,6.145803174
0.1,3.92,0.63333333,6.7,6.148504958
0.1,3.92,0.63333333,7.8,6.151592055
0.1,3.92,0.63333333,8.9,6.154739373
0.1,3.92,0.63333333,10,6.157918065
0.1,3.92,0.72222222,0.1,0.075072074
0.1,3.92,0.72222222,1.2,0.895484144
0.1,3.92,0.72222222,2.3,1.78676008
0.1,3.92,0.72222222,3.4,2.857603181
0.1,3.92,0.72222222,4.5,3.953851009
0.1,3.92,0.72222222,5.6,5.054405409
0.1,3.92,0.72222222,6.7,6.155534293
0.1,3.92,0.72222222,7.8,6.932962361
0.1,3.92,0.72222222,8.9,6.935723497
0.1,3.92,0.72222222,10,6.939565151
0.1,3.92,0.81111111,0.1,0.051270752
0.1,3.92,0.81111111,1.2,0.607975446
0.1,3.92,0.81111111,2.3,1.168822744
0.1,3.92,0.81111111,3.4,1.763943199
0.1,3.92,0.81111111,4.5,2.462537265
0.1,3.92,0.81111111,5.6,3.200652673
0.1,3.92,0.81111111,6.7,3.946139209
0.1,3.92,0.81111111,7.8,4.694208726
0.1,3.92,0.81111111,8.9,5.443579847
0.1,3.92,0.81111111,10,6.193424247
0.1,3.92,0.9,0.1,0.027428618
0.1,3.92,0.9,1.2,0.322014052
0.1,3.92,0.9,2.3,0.616875186
