ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.3,0.1,0.1,10,0.497226336
0.3,0.1,0.3,0.1,0.46480932
0.3,0.1,0.3,0.5,1.063781802
0.3,0.1,0.3,1,1.076828535
0.3,0.1,0.3,4,1.080571599
0.3,0.1,0.3,6,1.082248625
0.3,0.1,0.3,8,1.083925303
0.3,0.1,0.3,10,1.085561458
0.3,0.1,0.5,0.1,0.348578696
0.3,0.1,0.5,0.5,1.069034535
0.3,0.1,0.5,1,1.201091989
0.3,0.1,0.5,4,1.209946373
0.3,0.1,0.5,6,1.211858141
0.3,0.1,0.5,8,1.213786853
0.3,0.1,0.5,10,1.215564806
0.3,0.1,0.7,0.1,0.217816961
0.3,0.1,0.7,0.5,0.837237907
0.3,0.1,0.7,1,1.171025095
0.3,0.1,0.7,4,1.247118269
0.3,0.1,0.7,6,1.24930628
0.3,0.1,0.7,8,1.251157835
0.3,0.1,0.7,10,1.253735574
0.3,0.1,0.9,0.1,0.075434288
0.3,0.1,0.9,0.5,0.353053397
0.3,0.1,0.9,1,0.635699671
0.3,0.1,0.9,4,1.259577736
0.3,0.1,0.9,6,1.264986538
0.3,0.1,0.9,8,1.266947966
0.3,0.1,0.9,10,1.268812694
0.3,1,0.1,0.1,0.588110811
0.3,1,0.1,0.5,0.612213967
0.3,1,0.1,1,0.612199735
0.3,1,0.1,4,0.612367286
0.3,1,0.1,6,0.612567615
0.3,1,0.1,8,0.612767163
0.3,1,0.1,10,0.612965295
0.3,1,0.3,0.1,0.440888453
0.3,1,0.3,0.5,1.826845495
0.3,1,0.3,1,1.767431837
0.3,1,0.3,4,1.71766985
0.3,1,0.3,6,1.719163071
0.3,1,0.3,8,1.720927253
0.3,1,0.3,10,1.722775329
0.3,1,0.5,0.1,0.315203348
0.3,1,0.5,0.5,1.576148441
0.3,1,0.5,1,2.981688765
0.3,1,0.5,4,2.711230594
0.3,1,0.5,6,2.713598978
0.3,1,0.5,8,2.716729283
0.3,1,0.5,10,2.720048479
0.3,1,0.7,0.1,0.189507254
0.3,1,0.7,0.5,0.945074055
0.3,1,0.7,1,1.889225132
0.3,1,0.7,4,3.891337768
0.3,1,0.7,6,3.659240503
0.3,1,0.7,8,3.65391642
0.3,1,0.7,10,3.658424285
0.3,1,0.9,0.1,0.063688581
0.3,1,0.9,0.5,0.315558254
0.3,1,0.9,1,0.630527396
0.3,1,0.9,4,2.518023777
0.3,1,0.9,6,3.797343493
0.3,1,0.9,8,5.082313626
0.3,1,0.9,10,5.068046023
0.3,3,0.1,0.1,0.199180013
0.3,3,0.1,0.5,0.62108019
0.3,3,0.1,1,0.621085337
0.3,3,0.1,4,0.621132475
0.3,3,0.1,6,0.621162758
0.3,3,0.1,8,0.621192071
0.3,3,0.1,10,0.621220529
0.3,3,0.3,0.1,0.147702203
0.3,3,0.3,0.5,0.811432532
0.3,3,0.3,1,1.790742571
0.3,3,0.3,4,1.837357315
0.3,3,0.3,6,1.837905608
0.3,3,0.3,8,1.838466828
0.3,3,0.3,10,1.839048374
0.3,3,0.5,0.1,0.105674457
0.3,3,0.5,0.5,0.527240973
0.3,3,0.5,1,1.123073363
0.3,3,0.5,4,2.996731268
0.3,3,0.5,6,2.998318054
0.3,3,0.5,8,3.000094035
0.3,3,0.5,10,3.001935728
0.3,3,0.7,0.1,0.063693285
0.3,3,0.7,0.5,0.31570579
0.3,3,0.7,1,0.631761364
0.3,3,0.7,4,2.968422302
0.3,3,0.7,6,4.171081871
0.3,3,0.7,8,4.10007308
0.3,3,0.7,10,4.10296204
0.3,3,0.9,0.1,0.021626772
0.3,3,0.9,0.5,0.105702117
0.3,3,0.9,1,0.210680207
